Potential_Savings_Groceries,Potential_Savings_Transport,Potential_Savings_Eating_Out,Potential_Savings_Entertainment,Potential_Savings_Utilities,Potential_Savings_Healthcare,Potential_Savings_Education,Potential_Savings_Miscellaneous
476.98,236.82,166.19,38.37,97.73,35.72,34.81,37.49
179.82,39.59,58.26,46.68,207.59,14.96,20.09,42.19
327.98,136.6,28.75,108.45,136.37,23.48,15.65,41.42
574.29,825.64,546.16,90.46,603.86,51.79,71.87,88.19
3460.46,317.26,453.91,623.92,455.07,185.87,0.0,433.98
196.01,381.74,194.8,302.6,351.71,21.35,53.15,59.26
731.26,1094.86,533.08,421.08,980.32,115.36,66.69,455.94
1151.76,522.41,208.08,258.93,103.64,11.33,33.05,116.84
411.71,210.27,70.95,98.29,137.33,8.32,47.27,41.08
799.08,527.46,406.42,95.18,573.25,80.3,132.27,169.91
928.15,566.02,201.75,435.13,1535.71,106.55,294.29,232.72
913.04,235.59,214.16,116.99,543.05,46.11,60.83,36.65
3799.94,1621.29,745.91,365.09,1661.85,218.12,0.0,134.7
85.64,64.1,20.41,15.12,61.76,4.96,5.75,23.78
1571.82,906.48,834.66,636.22,1172.46,94.77,78.91,181.28
925.74,472.57,324.22,198.3,180.24,60.09,43.99,65.52
367.45,377.14,164.62,81.05,315.9,6.54,0.0,104.36
591.9,334.5,70.39,230.84,311.79,34.88,16.26,165.32
165.77,54.85,57.7,29.29,29.84,1.82,13.24,43.35
711.18,275.36,98.25,245.49,545.93,12.31,24.3,30.71
1167.17,170.47,514.11,77.84,617.12,7.32,105.0,134.96
3005.22,1190.74,135.45,298.29,1040.47,7.23,18.42,513.72
176.12,261.05,150.93,226.91,285.66,39.11,88.5,151.18
169.22,309.75,101.72,76.82,219.61,9.92,32.68,55.56
775.11,185.06,172.66,56.81,86.09,33.68,57.48,109.38
2216.93,374.42,349.94,534.0,317.99,89.31,249.73,228.57
288.56,398.35,198.11,94.06,767.51,80.16,11.83,86.24
493.61,299.16,186.51,45.8,256.55,27.9,0.0,36.69
1595.16,791.82,663.21,185.45,820.9,3.68,131.61,266.63
254.92,620.19,309.31,195.52,284.11,34.62,51.67,260.56
1783.35,393.46,433.05,475.51,443.74,116.24,0.0,436.43
629.34,231.91,77.35,204.05,129.24,25.72,49.46,89.8
892.0,112.9,246.26,83.83,271.9,34.19,76.11,26.99
571.98,297.59,157.69,146.26,249.72,29.86,34.66,94.44
193.67,121.0,36.4,34.56,78.97,10.92,0.0,25.5
1234.41,537.33,173.96,184.71,580.14,25.62,37.79,262.47
1160.56,655.58,179.54,119.22,154.3,40.88,0.0,139.25
827.65,256.03,420.94,320.97,222.78,41.72,43.89,159.71
189.13,468.62,282.12,68.9,201.66,28.87,66.11,58.8
115.67,73.21,24.07,49.29,58.61,13.21,2.96,10.95
330.56,153.97,87.42,175.87,127.0,21.48,0.0,98.49
585.43,367.49,159.05,90.46,423.77,30.98,43.13,192.47
471.71,119.67,115.8,63.66,66.54,28.32,24.23,25.11
545.03,494.98,78.58,140.94,155.5,40.16,63.59,105.07
588.98,408.15,295.36,455.62,274.62,12.67,150.71,233.64
3719.43,1209.56,417.48,1016.57,809.07,9.04,214.61,216.91
812.88,259.56,74.38,189.12,325.56,46.25,3.43,88.76
350.79,205.03,151.7,157.25,271.84,53.66,12.21,93.46
748.43,322.68,232.66,322.07,179.05,15.98,34.18,132.69
123.02,80.53,25.13,41.09,36.86,1.92,20.18,35.13
1010.33,216.32,211.09,198.79,214.94,48.62,0.0,49.89
841.94,174.02,259.77,78.16,629.78,49.64,113.19,80.63
9206.51,752.64,1233.85,828.68,2536.37,24.67,345.05,1065.26
740.44,236.26,34.23,207.51,77.19,33.1,50.54,32.86
792.43,452.9,120.64,124.49,137.04,87.01,63.71,313.52
619.17,116.39,164.12,74.04,145.71,7.44,13.18,92.74
135.14,171.86,19.94,77.02,52.03,0.92,30.0,10.76
2326.45,268.59,700.04,112.45,1021.18,24.78,218.8,278.56
1126.75,777.58,181.49,472.18,1204.52,16.71,154.31,131.49
1265.9,930.83,218.24,253.96,334.82,91.65,37.24,183.65
335.58,157.4,79.85,32.09,146.12,10.25,0.25,55.96
2679.0,1952.77,763.24,191.94,1547.18,55.27,35.37,495.22
98.09,100.92,18.73,66.33,62.97,14.37,0.0,33.24
792.24,418.07,583.09,244.23,871.75,57.01,85.41,185.54
5875.47,1075.24,761.14,1108.3,3536.97,180.6,0.0,1047.04
332.55,98.57,53.94,23.7,169.53,12.86,23.86,52.84
606.96,245.95,68.41,165.34,240.32,22.24,0.0,47.53
869.65,431.46,407.01,351.82,506.74,61.06,0.0,129.3
615.96,208.86,128.87,66.86,179.59,15.61,0.0,108.15
165.21,161.94,18.93,41.98,186.36,19.51,14.29,13.62
397.68,394.96,248.29,145.42,180.75,7.83,0.0,123.17
244.33,106.17,22.72,21.78,57.57,27.18,29.63,41.16
888.46,786.27,489.03,417.88,830.82,68.97,128.76,114.25
380.61,126.58,67.51,39.2,156.46,8.23,59.99,36.41
1785.02,1946.92,428.08,1350.34,310.83,109.91,112.9,157.81
154.45,154.28,146.41,114.17,93.88,30.04,47.83,18.99
670.67,360.84,65.68,71.49,250.87,38.34,29.23,41.29
367.56,1152.39,78.25,443.03,1129.2,28.69,146.83,97.85
386.71,196.05,61.94,41.28,88.79,18.66,10.91,38.91
1321.04,484.79,321.89,136.69,350.41,40.78,90.1,195.46
2838.5,461.98,123.27,941.16,1150.57,32.62,34.67,147.44
48.91,79.27,30.59,103.55,90.06,2.63,23.69,24.27
1079.92,305.56,157.65,114.65,286.29,16.69,54.0,82.17
1177.44,133.74,261.21,539.08,193.56,36.1,69.32,93.3
2168.43,225.82,326.32,364.2,279.91,58.81,203.5,62.51
358.7,93.78,101.89,74.17,37.09,22.34,25.71,24.82
91.7,125.34,109.42,37.59,121.22,1.31,0.0,27.08
1853.5,191.99,209.99,287.76,152.42,69.47,81.33,128.71
971.14,625.64,254.01,134.6,144.43,16.25,14.75,260.25
578.07,569.65,453.61,262.05,144.38,0.98,78.87,178.32
468.8,709.25,333.8,203.0,137.3,16.47,0.0,105.63
508.75,62.05,100.94,129.46,130.73,30.94,0.0,68.1
1286.68,142.27,111.34,403.1,219.22,7.73,0.0,256.29
994.68,583.51,123.69,273.72,339.52,11.78,0.0,36.04
467.79,172.39,162.43,90.15,139.54,9.29,0.0,114.13
4263.8,1974.06,332.3,503.67,1361.77,238.35,552.12,454.83
1641.31,533.07,145.08,300.05,436.85,71.62,37.21,125.4
385.24,190.21,139.71,60.49,49.43,5.44,0.0,26.25
1106.23,497.71,554.8,504.84,280.93,68.5,113.0,216.29
384.79,152.81,25.59,42.88,94.92,3.16,60.23,56.45
1760.6,582.78,581.19,412.62,272.43,41.62,145.78,66.79
935.79,1103.01,719.06,754.11,940.98,6.17,31.25,200.62
346.95,121.15,77.9,18.65,164.05,22.0,0.0,80.22
1030.2,418.37,444.4,319.7,886.4,9.12,55.02,243.49
1256.45,784.51,488.93,184.34,644.32,62.38,91.49,156.9
506.04,457.57,428.81,529.61,188.68,37.97,10.05,199.47
1113.95,2525.29,852.83,331.19,1319.33,6.3,137.64,299.48
753.59,89.05,156.82,249.16,259.81,45.37,10.99,103.89
355.32,301.38,96.5,150.85,162.48,15.54,10.06,130.15
345.39,228.87,44.68,88.19,88.88,21.71,0.0,23.67
443.25,191.35,80.09,55.48,267.81,8.92,0.0,84.94
739.88,218.54,174.64,171.72,195.65,33.14,108.25,119.85
1109.05,476.56,404.27,190.41,179.58,80.05,61.26,119.37
1567.12,561.48,67.16,184.02,215.0,9.14,17.08,121.91
1459.8,695.68,561.0,284.83,271.09,103.59,125.82,175.46
650.21,199.48,315.02,88.14,158.69,12.87,65.45,179.33
1754.07,1663.85,452.28,264.76,2139.13,150.25,95.27,328.96
358.44,341.17,126.83,133.08,164.92,31.26,29.0,75.54
1798.49,1582.11,771.39,1944.42,4239.81,103.63,943.38,385.31
689.29,791.21,368.53,591.1,291.53,58.76,103.63,157.56
203.87,192.2,62.38,33.99,102.42,22.48,0.0,53.94
156.2,212.18,19.29,70.11,141.1,18.45,2.0,10.45
909.68,380.76,313.03,267.3,269.94,20.06,0.0,100.72
769.06,180.39,197.05,73.52,280.96,28.67,31.7,83.34
1512.42,219.78,636.23,259.39,455.12,10.18,76.45,199.07
1623.93,569.62,161.1,65.03,156.54,12.73,0.0,315.59
840.24,147.19,96.68,289.77,175.34,30.79,86.92,108.12
266.69,180.42,85.45,36.18,160.32,11.4,38.6,30.9
283.74,150.89,31.71,50.95,103.38,4.67,15.37,26.59
312.68,151.24,63.58,63.54,210.84,10.91,59.24,53.44
1408.76,831.0,166.41,298.23,897.31,54.86,0.0,220.5
1260.93,399.16,178.21,224.6,424.73,34.14,16.92,103.27
280.88,72.44,129.54,28.11,180.62,10.69,26.93,46.52
229.39,485.89,166.56,398.89,417.36,3.26,29.77,113.34
1070.44,768.87,225.67,316.72,182.0,1.55,9.03,228.16
515.37,176.07,64.88,72.02,173.84,25.11,34.82,114.23
1060.94,374.5,319.45,286.25,497.28,65.38,0.0,110.46
281.74,141.05,151.07,273.44,299.89,13.42,0.0,82.72
189.01,118.6,81.12,87.61,126.88,10.93,41.02,50.89
1027.17,492.54,306.59,182.4,388.73,53.98,16.13,265.7
1591.59,545.12,187.45,220.42,732.92,58.66,122.55,276.8
844.13,1459.98,564.51,365.53,589.75,48.08,79.19,465.8
950.14,982.26,171.77,285.23,724.45,12.88,121.91,293.85
143.59,48.46,99.55,38.37,65.27,0.66,0.91,66.53
104.77,178.4,58.1,165.16,60.49,6.89,49.6,45.93
304.58,999.41,163.53,343.16,387.91,80.26,100.77,45.17
1594.79,537.52,274.89,285.09,641.27,75.31,64.88,140.22
392.86,531.65,200.41,349.9,724.84,67.79,11.23,127.7
20772.52,5786.9,1797.86,3390.41,3692.0,995.11,2436.52,1635.31
575.08,752.34,198.25,149.22,937.54,23.64,109.15,160.83
1816.65,729.14,945.07,470.7,1296.06,7.8,204.76,206.76
2476.75,987.05,215.61,473.55,650.8,19.16,161.5,324.82
908.35,480.02,219.6,566.65,585.27,65.73,26.64,66.87
982.8,179.7,185.98,110.95,233.74,36.62,0.0,61.27
1288.72,419.77,244.3,707.47,726.05,8.63,0.0,104.14
280.28,206.74,48.04,160.52,240.06,9.66,5.47,41.27
161.01,446.1,274.71,232.15,413.91,37.46,0.0,75.37
376.04,189.52,145.5,77.54,306.53,31.97,2.46,69.84
950.13,673.34,121.48,266.91,600.28,14.1,0.0,64.16
5719.71,616.62,717.2,641.12,3077.08,8.63,670.11,359.88
203.55,58.52,58.6,46.32,63.8,10.34,11.72,38.17
1406.51,345.74,169.76,146.05,852.25,51.22,0.0,383.77
108.35,80.83,40.34,11.96,31.09,5.79,0.0,33.81
703.49,164.15,53.63,129.15,277.28,28.03,21.7,93.76
1256.21,574.75,259.9,369.57,715.48,107.9,78.68,184.43
249.52,439.17,247.45,288.98,224.26,53.94,0.0,120.67
285.26,139.46,48.56,74.82,184.5,14.71,59.87,35.3
367.08,192.64,145.17,63.38,104.47,4.13,0.0,78.67
1158.09,243.33,142.1,135.88,811.12,72.6,2.37,55.31
341.97,185.38,70.24,163.88,338.42,0.29,35.66,79.34
957.14,218.6,135.84,119.34,274.68,9.61,148.92,186.23
258.41,209.53,100.58,177.66,315.84,2.62,68.79,54.87
445.7,290.27,41.96,68.33,175.55,12.21,0.0,100.81
1729.71,695.05,746.68,1682.2,1723.49,176.28,0.0,664.5
1062.25,602.27,608.16,64.57,510.18,74.33,108.71,82.86
72.75,101.02,24.95,33.58,69.84,2.34,17.44,19.3
1052.08,556.24,478.16,208.16,354.1,38.74,33.64,37.51
663.43,161.83,103.37,182.31,163.83,14.77,10.68,57.07
1237.72,529.74,618.85,554.76,299.96,8.13,43.4,236.96
507.0,216.91,172.41,103.33,240.1,28.53,47.29,59.62
187.15,386.41,109.75,97.91,157.9,8.02,33.16,113.09
305.25,1009.92,360.21,95.48,161.46,28.88,0.0,146.09
692.24,888.91,116.91,175.87,1273.27,50.49,146.36,233.95
343.74,139.86,88.83,26.6,115.89,15.01,39.41,42.31
588.17,324.01,48.19,94.32,311.86,16.42,44.87,31.29
376.33,302.72,153.8,111.06,214.05,31.0,57.93,65.7
755.92,367.14,73.57,167.61,205.38,13.4,57.72,48.58
1140.47,2474.57,340.98,732.46,1578.24,150.55,33.07,643.6
327.85,328.77,157.87,69.21,565.21,36.32,91.81,319.15
94.79,192.21,86.17,39.6,121.23,8.76,34.29,32.05
613.16,262.51,620.9,604.04,725.28,32.74,99.17,153.57
1399.15,1350.22,919.29,426.53,597.44,166.12,0.0,202.6
1817.28,1083.04,345.71,387.0,1103.36,56.64,302.31,102.27
199.44,88.92,49.87,81.49,106.27,10.37,32.94,41.02
651.78,363.86,205.68,165.76,345.65,8.87,0.0,129.15
2829.27,1466.34,314.65,734.41,451.91,8.35,133.94,158.8
150.58,388.41,80.61,80.04,140.56,3.25,41.37,118.1
497.54,654.17,311.15,224.7,861.74,64.31,0.0,158.37
1231.58,306.39,168.45,373.92,749.51,16.0,0.0,152.86
294.75,140.99,172.04,137.11,41.29,2.73,37.22,33.45
1179.48,212.99,74.09,151.79,208.61,37.22,24.33,80.14
40.35,14.27,19.34,9.34,28.44,4.32,2.14,13.26
417.24,234.5,86.76,118.22,153.96,9.39,29.57,24.24
949.56,296.95,87.93,184.7,420.82,5.48,22.05,73.2
151.8,165.25,151.96,27.5,86.69,7.66,0.0,34.61
831.64,1109.03,174.65,451.6,736.28,53.94,155.11,901.86
175.15,39.1,111.5,38.61,149.84,3.28,33.23,23.79
395.35,89.9,177.99,81.87,328.84,36.31,66.58,41.81
1247.02,320.69,271.11,278.95,501.2,31.42,6.3,122.58
2939.47,379.92,237.86,436.21,920.6,64.63,235.83,157.25
319.95,94.2,19.82,42.54,120.96,2.81,0.0,57.0
758.34,310.61,417.39,543.16,974.87,2.6,347.69,222.39
418.85,218.09,322.16,182.79,294.56,37.07,0.0,65.34
506.57,201.57,134.56,45.35,159.28,1.81,40.93,82.81
1717.97,521.5,117.31,51.7,799.39,34.82,32.1,143.52
452.52,174.31,66.5,242.85,294.19,71.28,0.0,125.75
160.04,147.65,119.39,55.18,85.73,10.35,47.26,85.42
1111.34,255.91,246.86,146.45,505.11,28.21,49.17,145.4
486.36,407.03,179.45,259.8,150.53,4.69,93.2,70.46
904.44,503.93,148.42,222.99,610.24,53.96,121.83,170.9
853.92,700.66,636.56,276.97,401.78,17.71,132.89,293.46
2910.63,1948.68,1003.66,695.87,1559.29,21.23,0.0,489.97
283.51,169.99,23.97,104.88,200.09,4.65,14.68,30.59
3974.83,2423.28,873.77,1386.04,498.64,199.96,250.53,293.16
114.2,119.94,17.55,82.37,63.01,8.69,1.23,17.33
973.34,422.0,123.1,57.75,403.88,8.34,83.95,130.09
1512.82,480.67,501.33,101.18,430.92,43.75,91.42,134.19
1145.1,375.34,205.5,230.17,405.46,49.91,164.75,273.07
356.4,272.65,88.73,115.05,83.24,0.93,83.66,33.56
139.24,325.86,70.48,270.81,339.38,14.18,0.0,106.19
267.51,82.3,45.98,91.08,343.44,30.33,47.63,47.36
747.44,291.96,111.18,92.62,119.44,27.44,23.96,58.49
1564.07,534.3,404.69,181.58,452.84,54.39,7.23,178.75
970.34,230.25,366.94,392.38,135.1,68.51,0.0,110.56
494.81,237.47,77.44,97.9,103.95,23.16,31.28,55.6
943.81,776.09,259.46,494.81,714.08,23.46,167.26,208.17
370.0,243.37,333.41,365.56,122.72,73.05,141.2,197.1
1462.69,450.11,343.37,314.28,396.81,40.9,34.28,205.16
1325.04,388.49,205.15,297.08,668.26,37.4,161.62,328.72
137.18,164.49,76.88,138.1,151.09,25.15,34.78,68.57
498.86,148.12,56.53,132.1,147.19,1.75,58.08,66.08
1480.19,714.91,163.62,343.26,873.49,22.84,200.62,52.58
1358.54,350.08,178.66,277.54,868.18,4.02,0.0,115.92
1264.71,324.7,254.28,244.13,604.89,24.84,90.01,89.71
655.03,734.5,363.41,445.44,530.95,30.92,6.01,64.96
1648.64,1789.54,139.52,396.21,339.37,44.28,0.0,84.15
472.5,340.91,41.07,53.87,100.67,4.66,8.84,54.85
932.32,349.79,492.09,316.32,510.37,75.44,135.6,203.45
430.21,207.23,74.71,49.98,414.53,36.33,13.41,46.47
781.19,233.05,62.09,247.74,193.17,34.18,0.0,45.73
1971.25,1037.65,418.07,586.78,671.97,84.82,108.46,552.75
2397.32,946.77,166.55,577.25,1094.39,12.77,135.51,321.16
1735.03,825.76,156.46,217.14,320.24,34.5,220.26,270.91
1828.92,334.81,348.32,398.5,558.23,28.81,112.25,584.08
359.53,103.56,358.83,245.87,461.7,49.2,107.5,140.05
992.94,314.35,120.25,334.35,606.19,17.23,98.28,95.24
638.06,397.42,133.02,62.66,135.54,35.44,36.8,79.8
1031.62,225.92,473.18,239.97,305.22,74.59,4.27,258.57
702.3,440.57,146.05,266.85,65.91,46.09,79.57,25.41
941.94,228.04,124.51,205.93,238.79,13.59,44.18,67.76
365.23,273.86,231.54,546.88,466.34,102.05,170.77,234.94
610.38,68.39,107.72,103.69,67.57,22.9,38.44,13.43
2343.11,1861.49,1149.82,873.62,2133.98,330.16,656.46,1210.29
227.9,135.87,67.3,50.26,35.17,7.69,53.73,56.92
314.95,208.23,121.7,103.81,59.71,1.85,7.63,30.88
804.79,1279.77,731.11,910.74,1342.87,13.87,13.28,248.18
768.75,708.16,456.27,465.47,396.55,34.06,43.91,220.08
1462.98,749.1,385.97,558.38,434.12,80.26,45.91,70.28
1134.57,205.59,416.12,197.93,324.47,75.77,167.66,294.83
747.73,536.92,131.83,217.77,369.14,16.65,120.53,139.41
228.89,201.21,188.79,78.44,154.38,0.24,0.0,41.88
734.31,145.31,62.4,303.4,279.59,44.41,17.73,188.39
512.03,118.28,66.57,98.88,220.42,23.87,28.88,62.17
511.95,820.24,504.81,618.85,819.66,15.2,0.0,288.41
963.7,418.87,224.99,144.54,245.59,28.78,25.92,87.57
296.46,357.38,103.76,127.36,179.38,8.4,0.0,19.19
713.26,438.92,117.36,189.47,129.29,54.11,54.64,75.04
1614.35,891.46,241.32,309.42,766.83,48.47,98.8,128.44
429.28,405.92,163.57,152.79,250.76,24.81,0.0,89.0
247.18,209.55,66.36,106.1,72.04,4.72,4.94,96.26
462.48,145.18,309.31,127.81,246.11,9.66,118.08,96.61
1008.42,608.0,189.44,345.83,313.87,32.91,0.0,54.02
568.79,182.68,87.87,143.1,72.96,2.69,75.15,82.32
155.48,237.43,202.79,32.62,85.67,34.72,0.0,104.31
460.75,618.58,292.66,113.95,533.5,58.79,0.0,132.0
224.56,66.58,67.56,55.04,95.26,9.82,22.0,11.31
313.14,131.44,55.71,117.71,89.28,4.58,42.87,12.86
388.28,102.07,21.94,68.91,144.02,16.16,47.33,50.24
1000.14,294.75,220.06,218.49,224.31,27.6,119.27,90.87
509.97,299.06,439.06,81.81,644.12,59.26,7.56,104.3
2700.91,839.17,493.16,418.55,1585.41,133.65,248.05,372.16
1926.47,1321.01,306.43,400.31,864.42,42.97,41.53,179.99
456.33,121.77,114.48,212.2,395.03,15.68,118.78,71.14
879.12,178.26,364.87,161.78,470.94,48.21,21.09,26.29
193.94,74.33,112.44,128.04,83.78,7.03,13.16,45.19
1012.11,340.68,53.44,129.92,208.28,46.14,27.11,32.98
504.39,151.38,133.64,262.17,255.44,46.35,0.0,36.63
325.31,487.47,437.95,265.48,665.96,81.91,0.0,82.54
187.88,152.7,27.05,53.44,103.86,2.58,27.82,47.28
622.78,340.23,116.41,468.73,600.84,52.09,23.01,56.21
1984.57,2379.14,784.59,522.17,546.54,20.63,298.11,648.57
319.5,133.18,223.11,233.33,284.46,44.28,58.37,56.44
1154.93,629.6,227.92,485.07,326.86,60.49,122.58,63.36
1344.97,397.06,289.87,535.84,218.21,94.85,28.22,86.4
396.88,185.25,134.07,73.32,436.05,22.33,0.0,49.58
394.51,307.93,98.56,159.07,316.81,42.02,65.39,37.96
1099.14,432.26,92.72,315.16,600.94,40.54,110.21,137.48
496.91,196.38,122.23,82.43,93.39,48.82,60.85,113.74
270.36,91.83,61.95,137.73,199.93,21.25,13.39,130.92
416.78,281.9,346.48,91.31,116.39,29.65,0.0,99.55
446.05,738.23,63.45,239.53,258.13,99.48,76.41,49.38
1607.6,1041.89,865.92,340.6,385.58,171.46,231.17,436.07
970.64,1269.61,276.2,210.99,546.6,126.35,132.73,326.25
4694.46,2109.41,532.4,240.55,1946.14,8.98,0.0,1308.13
306.19,297.33,85.67,115.18,162.84,24.33,26.92,91.58
868.75,808.1,99.26,232.58,1028.17,50.27,209.82,159.93
781.92,207.37,361.72,274.64,205.23,26.89,0.0,53.09
1444.02,3450.89,405.68,1542.14,3305.84,281.19,0.0,628.38
338.93,54.77,83.66,48.77,74.52,21.25,38.59,63.68
565.36,129.91,67.44,58.78,51.18,25.29,0.0,51.01
520.52,311.21,104.6,75.42,187.76,23.41,23.73,48.35
89.16,84.55,35.61,24.94,97.25,2.29,0.0,17.86
400.02,146.67,201.83,59.93,209.29,12.95,70.93,44.36
216.85,306.79,74.41,179.76,165.38,18.12,0.0,139.22
1111.09,279.36,311.18,140.17,124.84,7.72,0.0,51.34
1134.17,249.98,363.8,514.32,521.31,18.41,151.42,230.87
1703.76,1853.29,1023.69,670.32,1025.89,158.38,3.01,832.17
1995.21,1045.66,101.72,344.8,872.01,57.33,136.6,329.57
142.09,267.73,110.67,52.21,154.86,27.32,58.11,144.62
479.93,72.88,59.25,161.55,123.9,34.91,27.29,124.63
346.97,305.26,334.34,351.18,512.3,103.07,86.36,53.2
428.9,46.41,15.03,92.7,95.23,17.02,19.52,9.98
3563.33,863.43,1495.77,566.11,789.18,52.47,293.22,221.26
2727.15,774.38,426.29,386.6,533.44,118.49,108.62,409.39
397.16,347.23,129.0,56.94,193.38,40.63,0.0,78.85
249.21,124.48,43.57,11.97,72.28,13.22,27.59,26.05
679.0,276.14,599.98,174.97,1189.91,129.1,140.57,253.16
1022.56,521.99,147.15,164.31,122.94,0.98,73.74,132.55
578.89,1032.61,667.26,769.04,331.07,59.58,192.22,359.33
123.92,123.88,42.2,27.15,127.37,7.25,7.26,31.5
620.93,285.07,59.79,112.89,131.83,22.92,28.98,116.06
199.83,360.72,154.38,269.97,279.46,5.86,21.92,119.38
975.44,300.59,123.38,286.14,217.03,22.78,0.0,169.42
447.55,288.4,76.57,178.26,251.28,28.88,48.31,103.1
937.3,178.26,158.34,372.42,181.85,74.0,0.0,137.24
397.2,127.52,129.01,64.71,93.98,9.24,20.74,19.36
497.58,229.41,94.81,175.57,426.61,30.85,18.99,108.17
516.06,327.67,268.53,123.3,462.46,8.79,74.56,89.3
606.4,636.47,99.79,231.02,509.76,57.63,59.88,94.43
1611.64,456.33,250.57,232.57,763.54,64.16,0.0,98.68
538.8,92.95,100.45,125.03,155.84,9.59,46.25,35.21
127.12,117.08,42.17,31.43,201.94,8.09,4.27,25.74
1797.3,1350.28,625.62,1042.15,1102.94,9.05,0.0,261.16
699.72,344.24,268.0,66.65,363.57,43.58,86.86,86.66
500.59,292.42,110.98,119.67,173.98,25.65,5.97,61.48
3327.12,1579.45,923.29,499.37,663.93,122.23,414.15,303.36
278.48,242.13,127.09,125.2,263.05,61.1,88.73,69.22
1455.27,1386.25,560.65,262.49,1340.87,6.75,0.0,96.34
413.96,266.79,109.36,262.17,396.52,3.33,49.08,231.61
2358.51,1397.38,722.77,398.53,830.03,108.81,0.0,438.31
3589.46,904.85,569.57,954.29,1076.49,222.35,346.67,136.42
826.01,397.33,108.74,185.23,440.36,4.26,0.0,110.39
