Income,Age,Dependents,Occupation,City_Tier,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Desired_Savings_Percentage,Desired_Savings,Disposable_Income
10367.22,23,0,Student,Tier_3,1555.08,736.93,510.3,1072.11,763.02,292.24,237.31,788.0,468.32,0.0,106.25,6.3,653.47,3837.64
35117.04,34,0,Retired,Tier_1,10535.11,0.0,1157.89,3839.29,2433.65,1225.26,905.52,2256.48,1563.45,0.0,1015.76,5.37,1886.1,10184.63
54161.52,23,4,Self_Employed,Tier_1,16248.46,5389.56,1791.87,6609.12,4218.1,1305.24,2483.22,3827.45,1742.98,4771.63,599.71,10.88,5174.2,5174.2
34408.1,39,2,Self_Employed,Tier_2,6881.62,0.0,706.24,4377.81,2682.87,1174.12,821.54,2050.95,1117.52,3379.48,612.83,9.17,3155.76,10603.13
27348.97,35,0,Self_Employed,Tier_3,4102.35,0.0,712.54,2794.21,1792.02,1316.56,836.46,1834.63,1129.63,0.0,682.78,5.6,1532.17,12147.8
23578.01,49,1,Self_Employed,Tier_2,4715.6,0.0,556.53,2880.5,1706.69,1147.91,492.81,1880.17,893.56,1435.08,669.47,9.96,2348.48,7199.68
9192.43,45,1,Professional,Tier_2,1838.49,1648.01,403.24,1204.57,732.1,299.63,299.46,696.37,390.48,880.13,257.62,9.68,542.32,542.32
16866.38,59,2,Self_Employed,Tier_2,3373.28,2840.34,598.13,1801.12,1070.35,666.25,731.23,1038.86,584.35,1000.93,183.92,9.65,1627.64,2977.62
20752.91,27,1,Professional,Tier_3,3112.94,0.0,595.2,2533.62,1260.47,813.83,1008.46,1548.44,778.79,1985.13,525.89,8.23,1708.77,6590.15
69888.08,58,3,Professional,Tier_1,20966.43,0.0,3336.29,9572.32,3724.99,2735.51,2271.87,2813.69,2620.61,6124.99,1935.46,13.36,9335.82,13785.94
39491.76,39,4,Retired,Tier_2,7898.35,0.0,1555.33,4126.19,2765.23,1423.68,922.62,1731.28,1322.0,2299.32,595.8,7.64,3015.74,14851.97
7321.13,45,0,Student,Tier_2,1464.23,674.69,352.14,959.07,396.88,241.78,161.06,576.17,285.37,0.0,76.27,6.81,498.76,2133.47
38879.4,32,4,Student,Tier_2,7775.88,0.0,1074.13,4633.07,2588.91,983.05,1420.99,2168.05,1411.69,2562.39,1042.48,5.68,2206.55,13218.76
22046.01,60,2,Self_Employed,Tier_2,4409.2,2490.27,1013.99,2701.41,1142.21,821.01,894.4,1267.37,671.83,1918.14,242.7,6.09,1343.35,4473.48
17455.59,46,4,Self_Employed,Tier_1,5236.68,0.0,796.76,2060.14,1393.73,365.73,382.15,774.74,821.51,1605.99,274.65,6.11,1066.2,3743.51
48937.23,24,0,Student,Tier_3,7340.58,6173.58,2295.84,5099.51,3419.17,2342.88,2009.74,2740.59,2284.27,0.0,1077.69,11.25,5504.3,14153.39
68442.71,51,0,Student,Tier_2,13688.54,9243.34,3047.28,8891.69,3535.36,3298.88,2383.72,4927.44,2414.48,0.0,1400.59,13.5,9241.34,15611.39
63194.77,49,2,Professional,Tier_2,12638.95,0.0,2792.23,7662.3,4519.1,3080.4,2395.13,3687.74,2341.21,5067.91,1221.79,13.04,8239.0,17787.99
15330.18,19,0,Self_Employed,Tier_2,3066.04,0.0,697.06,2176.94,1046.6,336.91,738.83,682.55,757.07,0.0,300.07,9.18,1406.58,5528.11
23425.55,43,1,Student,Tier_1,7027.67,2226.88,1098.16,3200.36,1660.43,736.04,599.83,1763.19,1032.46,2095.57,504.1,7.91,1480.87,1480.87
39103.35,62,4,Student,Tier_2,7820.67,0.0,1279.18,5043.78,2907.96,1609.32,924.51,2894.05,1800.87,3364.6,456.35,5.67,2217.69,11002.05
65472.71,28,3,Professional,Tier_2,13094.54,0.0,1739.62,7322.75,4659.71,1770.7,3042.79,3519.55,2326.28,5264.07,1497.54,13.72,8984.3,21235.16
20447.45,42,3,Retired,Tier_2,4089.49,0.0,453.19,2541.02,1126.61,905.67,857.37,1251.02,951.68,1830.87,497.99,5.3,1083.42,5942.53
25859.3,36,3,Professional,Tier_2,5171.86,0.0,730.63,3591.5,1500.23,700.6,736.95,1792.22,1201.78,1539.02,359.53,9.35,2417.37,8534.99
12380.58,37,2,Student,Tier_3,1857.09,1610.9,568.12,1310.76,688.4,261.64,305.95,918.7,601.6,927.38,204.76,9.16,1133.62,3125.29
11521.7,50,3,Self_Employed,Tier_2,2304.34,1912.46,575.08,1220.53,821.28,340.28,483.55,906.14,558.95,721.39,238.44,5.56,640.37,1439.27
57467.41,34,4,Retired,Tier_2,11493.48,8786.61,1878.73,6376.48,3566.1,1853.02,1270.23,3999.65,2054.33,3769.72,592.23,10.27,5901.44,11826.84
88782.49,47,0,Professional,Tier_1,26634.75,0.0,3022.11,12812.86,4607.54,2448.98,2167.96,3851.45,4132.2,0.0,1782.35,12.0,10652.29,27322.3
28320.6,35,1,Retired,Tier_1,8496.18,0.0,900.06,3552.68,1829.55,1018.19,1358.74,1487.13,1083.42,1559.0,408.62,7.92,2243.56,6627.02
66955.2,49,3,Retired,Tier_2,13391.04,12898.37,2445.72,9963.13,4248.92,2279.56,2558.96,4079.74,2548.77,5497.39,1952.4,13.72,5091.19,5091.19
40065.12,57,3,Professional,Tier_1,12019.54,3437.47,1375.86,5780.87,2679.45,2000.66,865.0,1953.84,1895.96,2634.52,477.41,10.21,4090.16,4944.55
17905.39,62,3,Self_Employed,Tier_2,3581.08,0.0,725.52,1996.97,1385.99,845.78,861.57,1080.29,853.98,1159.59,303.94,7.05,1262.44,5110.69
40057.42,21,1,Student,Tier_3,6008.61,6078.13,1131.23,5980.37,2974.45,1853.96,1286.17,2869.59,1609.2,3873.88,798.53,13.13,5259.73,5593.3
102680.95,49,4,Student,Tier_2,20536.19,19761.33,3295.01,12785.34,7471.97,2304.44,4855.34,6328.41,3410.52,6922.77,1204.6,24.39,13805.02,13805.02
29152.38,36,3,Self_Employed,Tier_2,5830.48,0.0,935.14,4183.83,1637.96,859.43,1197.84,2319.37,931.38,2780.7,723.19,7.93,2310.95,7753.06
104890.01,20,0,Retired,Tier_1,31467.0,6756.65,3100.59,12984.32,8099.09,3415.26,3890.05,8022.53,5070.91,0.0,1187.84,17.58,18438.71,20895.76
3689.17,55,2,Self_Employed,Tier_1,1106.75,495.41,162.13,543.45,225.09,150.52,170.24,244.35,174.15,186.83,83.45,8.28,146.79,146.79
57900.12,45,1,Retired,Tier_1,17370.03,11444.47,2096.46,7942.67,3662.13,2816.31,2288.62,4065.15,2260.96,3600.37,1202.61,13.44,0.0,-849.65
32163.59,55,4,Professional,Tier_2,6432.72,1904.56,1183.61,4065.14,1640.4,1491.35,725.95,1709.84,1217.4,2345.35,435.97,5.61,1805.38,9011.3
23617.58,23,0,Retired,Tier_2,4723.52,0.0,643.22,3188.2,1642.41,781.01,655.31,1328.23,744.25,0.0,359.6,7.65,1807.12,9551.84
32285.11,57,1,Student,Tier_1,9685.53,3371.92,1056.34,3594.6,2527.66,655.18,780.14,1296.76,1182.0,3174.52,689.18,9.18,2963.08,4271.28
6117.43,34,1,Student,Tier_2,1223.49,383.87,185.6,873.24,353.38,250.12,195.24,453.03,196.79,314.13,159.51,7.82,478.48,1529.03
25165.14,59,2,Retired,Tier_2,5033.03,3469.49,1188.6,2860.21,1424.72,1090.72,968.45,1988.18,1198.34,1757.4,259.66,6.37,1604.25,3926.34
39920.4,22,2,Student,Tier_2,7984.08,7102.2,843.71,5176.88,2228.13,1878.38,1142.64,2105.53,1930.57,2590.43,860.03,5.98,2386.25,6077.82
97857.53,36,4,Self_Employed,Tier_2,19571.51,0.0,2471.0,14635.83,5794.54,2144.71,4002.81,4257.25,2988.6,9185.09,1921.17,10.46,10239.77,30885.02
19817.81,60,3,Retired,Tier_1,5945.34,1710.11,789.07,2034.25,1433.46,860.82,927.45,1211.91,909.92,1872.47,571.5,5.97,1183.56,1551.52
15711.65,59,2,Self_Employed,Tier_2,3142.33,1266.93,599.4,1706.88,1182.72,444.5,591.37,899.06,749.44,1026.43,294.11,9.9,1555.47,3808.49
20081.35,52,4,Student,Tier_2,4016.27,0.0,832.2,2697.79,1445.17,943.03,674.91,920.7,788.45,1878.34,566.38,9.62,1931.06,5318.12
62397.12,39,1,Self_Employed,Tier_3,9359.57,8081.25,1332.97,8226.48,3698.09,2269.87,1919.55,4147.94,2241.64,5064.32,1560.96,13.37,8341.54,14494.48
39024.84,41,3,Retired,Tier_1,11707.45,4031.55,1813.75,5315.63,2716.79,1061.1,1038.23,2710.48,1789.24,2707.71,772.76,5.13,2001.77,3360.14
19636.48,27,0,Self_Employed,Tier_2,3927.3,0.0,941.16,1982.79,1337.53,958.85,512.79,981.26,728.36,0.0,212.72,7.19,1411.95,8053.74
45232.3,19,1,Self_Employed,Tier_1,13569.69,7866.64,1965.58,6066.9,2926.37,2231.07,1125.55,3237.05,1634.43,3858.72,1272.66,10.32,0.0,-522.36
32422.72,45,4,Student,Tier_2,6484.54,0.0,818.44,4768.25,2125.86,1548.15,1095.62,1834.02,1376.86,1918.64,932.69,6.63,2150.42,9519.63
65112.29,58,0,Student,Tier_1,19533.69,4564.02,2843.21,7816.55,4281.67,2278.3,3059.93,3422.01,2382.89,0.0,1480.03,12.58,8192.99,13449.98
17108.15,54,1,Retired,Tier_1,5132.44,3202.13,504.64,2130.12,948.79,383.3,693.68,748.08,679.26,1619.2,487.05,6.76,579.47,579.47
23082.34,34,2,Retired,Tier_2,4616.47,3961.18,566.92,3116.63,1796.62,938.62,604.76,1103.41,1060.61,1863.78,426.2,5.31,1225.87,3027.15
21922.44,23,4,Student,Tier_2,4384.49,0.0,491.76,3157.34,1536.22,1020.5,600.23,1666.47,686.25,1602.27,510.4,7.9,1731.75,6266.49
9303.45,60,0,Professional,Tier_2,1860.69,486.26,199.23,1280.85,715.37,399.38,233.44,550.67,440.68,0.0,103.93,7.47,695.43,3032.96
38019.29,22,2,Student,Tier_2,7603.86,3488.95,1721.13,5630.32,2250.12,1505.18,904.19,3024.0,1354.77,3210.06,964.34,5.45,2070.68,6362.37
36967.59,56,0,Professional,Tier_2,7393.52,6914.39,1674.35,5063.2,2305.1,1371.89,1723.96,2410.98,1839.22,0.0,595.3,7.93,2932.4,5675.69
30122.97,24,3,Self_Employed,Tier_2,6024.59,0.0,632.41,3443.92,1815.04,1467.88,1172.22,1319.48,954.8,2047.8,858.72,5.97,1798.68,10386.12
24866.65,49,3,Retired,Tier_1,7460.0,4433.24,1031.19,3600.21,1877.65,1225.3,689.28,1649.51,1020.5,2083.61,388.01,6.37,0.0,-591.85
9668.77,21,4,Self_Employed,Tier_2,1933.75,1198.47,267.08,1212.55,654.28,380.82,283.74,436.36,320.57,515.05,184.37,7.69,743.37,2281.73
21427.63,38,0,Self_Employed,Tier_2,4285.53,0.0,571.74,3126.67,1220.82,600.24,652.74,1575.78,717.3,0.0,398.72,9.74,2088.12,8278.11
22806.05,59,3,Student,Tier_2,4561.21,0.0,840.64,2355.52,1488.17,751.98,882.13,1648.19,833.38,1704.37,659.27,9.33,2127.81,7081.18
15789.98,49,1,Retired,Tier_1,4736.99,0.0,532.71,2090.02,1051.51,407.77,618.73,799.47,746.33,958.2,409.76,7.77,1227.49,3438.49
26368.47,35,1,Professional,Tier_1,7910.54,0.0,677.01,2654.59,1995.33,692.15,657.05,1840.05,1309.69,1767.99,391.0,6.49,1712.09,6473.07
41447.94,50,3,Student,Tier_1,12434.38,0.0,836.02,4455.13,2401.54,1092.16,1572.33,2866.17,1565.76,3841.34,932.4,14.08,5835.11,9450.71
135659.23,31,3,Student,Tier_1,40697.77,17920.39,4025.79,15621.22,7877.77,2747.1,3480.59,7084.41,5110.14,8475.79,3471.02,16.84,19147.25,19147.25
34496.56,23,4,Self_Employed,Tier_3,5174.48,0.0,1109.51,4724.97,1872.87,693.8,707.15,2225.51,1450.97,1892.46,882.83,7.73,2666.49,13762.0
36864.08,28,4,Professional,Tier_3,5529.61,2290.09,1262.84,4459.51,1998.38,1623.57,992.48,1489.92,1460.57,2615.36,477.92,7.73,2849.06,12663.83
28265.46,63,1,Student,Tier_2,5653.09,4804.32,911.45,3452.86,1499.81,955.95,1234.47,1553.5,990.56,2206.65,643.96,9.9,2798.52,4358.82
6463.56,37,2,Retired,Tier_1,1939.07,0.0,203.03,741.83,327.94,135.01,284.45,298.56,223.32,559.2,124.42,7.7,497.96,1626.73
29370.37,46,0,Professional,Tier_3,4405.56,0.0,1436.18,4175.52,1664.67,1318.92,719.28,1307.95,1422.44,0.0,301.58,5.16,1515.52,12618.28
31480.92,52,2,Student,Tier_2,6296.18,1934.59,1498.44,4664.78,1817.57,1063.42,1149.12,2112.01,1041.04,2379.72,428.22,6.85,2155.72,7095.83
215248.05,33,4,Self_Employed,Tier_1,64574.41,0.0,6831.17,32106.59,14442.53,6799.33,8137.37,9135.52,7191.38,20390.17,5644.64,23.63,39994.94,39994.94
25721.02,24,2,Student,Tier_2,5144.2,3770.32,1240.83,3243.18,1489.05,536.58,852.2,1138.36,1164.22,2467.45,392.08,5.88,1513.26,4282.55
38184.71,57,4,Professional,Tier_2,7636.94,2561.59,863.5,3902.73,2969.55,1166.49,1648.61,2375.01,1893.45,3338.35,1050.88,9.7,3705.79,8777.61
29178.38,53,2,Self_Employed,Tier_1,8753.51,0.0,594.71,3061.04,1498.59,597.46,1320.65,2204.69,919.48,2116.95,325.62,7.55,2201.73,7785.68
11778.25,61,1,Student,Tier_1,3533.48,0.0,352.46,1691.66,739.37,286.26,437.32,769.64,544.34,1014.74,162.42,9.0,1059.73,2246.56
74847.72,61,4,Professional,Tier_2,14969.54,0.0,1912.99,9718.61,4131.41,2628.29,1533.13,3804.38,3031.71,5526.45,2170.26,12.19,9127.51,25420.96
54748.16,48,1,Professional,Tier_1,16424.45,0.0,2251.94,5969.26,2810.43,1797.27,2646.39,4017.78,1720.64,4873.44,556.57,13.14,7191.36,11679.98
56487.7,59,2,Self_Employed,Tier_1,16946.31,6499.08,2191.04,7164.96,3471.32,1247.13,1534.79,3358.89,2733.46,3693.34,1567.85,12.75,6079.53,6079.53
14493.31,61,3,Self_Employed,Tier_1,4347.99,0.0,713.57,1895.23,1017.21,307.75,512.48,642.92,457.29,1034.24,220.79,8.78,1271.97,3343.84
92151.4,60,3,Retired,Tier_3,13822.71,0.0,3927.21,13165.17,7110.06,3629.76,2986.46,7156.3,3907.24,8200.1,2309.73,14.05,12945.81,25936.66
9773.91,60,0,Retired,Tier_2,1954.78,0.0,311.23,1300.04,498.31,250.12,289.57,532.72,414.1,0.0,128.84,8.49,830.04,4094.2
47975.14,64,3,Student,Tier_2,9595.03,4989.79,1346.42,5957.81,3559.26,2305.32,1266.94,3437.31,2070.53,4561.2,645.19,12.0,5757.08,8240.34
173046.77,23,0,Retired,Tier_2,34609.35,0.0,3744.0,22522.23,9437.52,6470.91,7193.01,12142.74,7967.35,0.0,4602.97,23.36,40421.09,64356.68
13582.31,46,2,Retired,Tier_2,2716.46,0.0,379.31,1449.14,833.01,331.87,318.53,887.78,610.08,1210.67,208.66,6.46,877.24,4636.81
19070.82,44,0,Self_Employed,Tier_2,3814.16,0.0,485.72,2140.12,1324.14,803.55,876.52,1024.19,614.94,0.0,430.0,7.5,1429.64,7557.48
32489.55,60,0,Student,Tier_1,9746.86,3646.06,1467.64,4108.93,1897.52,1407.39,1330.91,2311.06,1434.18,0.0,438.71,7.37,2394.72,4700.3
20053.76,19,0,Professional,Tier_2,4010.75,0.0,597.11,2219.77,1550.13,775.56,764.7,1523.5,611.5,0.0,477.96,5.28,1058.26,7522.77
8676.92,39,1,Self_Employed,Tier_1,2603.08,1185.41,351.51,1295.2,573.6,361.43,320.53,680.42,406.55,829.88,96.18,7.26,0.0,-26.86
31691.48,26,0,Professional,Tier_2,6338.3,0.0,1249.81,4038.61,2178.66,1539.56,1069.89,1692.61,1174.57,0.0,629.15,5.58,1768.65,11780.31
12824.46,28,4,Retired,Tier_3,1923.67,0.0,279.32,1374.19,711.3,331.19,306.58,802.51,578.76,1209.14,202.0,5.26,675.02,5105.81
43819.17,33,2,Retired,Tier_1,13145.75,3113.68,906.05,6403.7,2775.56,1924.65,1718.77,3138.43,1676.39,4273.15,602.84,11.44,4140.2,4140.2
14377.41,62,1,Retired,Tier_2,2875.48,0.0,479.51,1947.76,719.55,467.25,432.14,1145.31,432.78,1333.62,151.51,6.5,935.18,4392.49
103662.96,30,4,Professional,Tier_1,31098.89,0.0,4952.41,10567.82,6750.34,3463.87,4568.49,6077.87,4240.85,7266.38,1527.21,22.57,23148.84,23148.84
16032.13,35,2,Student,Tier_3,2404.82,0.0,628.11,1894.52,1039.95,620.95,549.72,777.13,606.78,1182.5,332.75,7.7,1234.45,5994.89
23185.99,42,1,Self_Employed,Tier_2,4637.2,0.0,1059.75,2812.28,1430.23,751.43,876.49,1755.84,861.64,1436.41,394.03,9.76,2262.36,7170.69
57513.01,50,2,Retired,Tier_3,8626.95,0.0,1226.14,7273.59,3900.74,1235.68,2551.41,4158.58,2170.81,3738.12,1205.01,12.54,7209.45,21425.97
11206.63,27,3,Retired,Tier_2,2241.33,935.3,351.33,1297.72,812.26,256.23,331.73,853.98,500.38,687.42,288.54,6.26,701.04,2650.43
35987.27,47,2,Student,Tier_1,10796.18,2368.72,783.3,4897.41,1858.77,1518.39,930.27,1513.0,1351.22,2104.88,980.24,9.92,3568.33,6884.88
85362.9,18,3,Self_Employed,Tier_3,12804.44,12629.01,2580.53,10867.25,4970.89,2204.79,3397.41,4128.24,3926.66,4693.09,1354.2,13.37,11411.35,21806.39
8291.33,50,3,Student,Tier_2,1658.27,480.44,236.51,848.65,452.07,253.08,382.99,433.9,274.12,660.53,135.03,6.09,505.07,2475.74
34775.2,32,2,Student,Tier_2,6955.04,0.0,1656.84,3614.38,2013.12,835.54,1581.1,2233.97,1135.94,2444.26,887.01,5.83,2025.73,11417.99
36932.93,46,3,Retired,Tier_2,7386.59,0.0,1645.18,4300.76,2023.86,1265.11,1809.97,2737.55,1145.11,2817.56,976.18,5.9,2178.25,10825.06
56073.07,19,1,Retired,Tier_1,16821.92,0.0,2477.97,7433.28,4153.1,1370.6,1855.88,4034.24,2155.1,5009.59,1162.08,11.5,6447.79,9599.32
11152.2,28,3,Student,Tier_2,2230.44,0.0,231.37,1476.66,577.32,541.34,478.66,591.6,483.33,951.28,304.23,8.45,942.33,3285.98
10431.52,51,0,Professional,Tier_2,2086.3,0.0,367.56,1140.55,560.62,515.25,509.98,739.78,495.04,0.0,107.95,5.01,522.7,3908.49
45547.27,58,1,Retired,Tier_3,6832.09,6775.58,1043.78,6587.71,3100.29,1100.42,1788.02,2958.79,2267.24,2380.23,643.06,13.36,6086.69,10070.06
38045.59,36,1,Self_Employed,Tier_1,11413.68,0.0,1748.98,4782.51,3036.25,1479.35,1326.21,2029.58,1758.77,3335.54,871.41,8.4,3195.65,6263.31
36656.53,19,1,Retired,Tier_2,7331.31,0.0,1230.34,4729.5,2844.73,1682.46,1551.31,1608.68,1734.25,2019.61,1013.57,9.69,3551.38,10910.79
39581.27,37,0,Professional,Tier_3,5937.19,7755.89,907.01,5520.3,2709.27,1341.55,1009.67,2593.68,1809.26,0.0,547.1,7.28,2882.85,9450.34
17412.31,58,0,Professional,Tier_1,5223.69,0.0,862.08,1841.35,1078.94,355.85,608.49,1141.94,791.74,0.0,356.53,8.62,1500.95,5151.71
36125.55,48,0,Student,Tier_1,10837.66,0.0,1034.75,4558.98,2225.6,789.83,1356.63,1644.01,1168.01,0.0,902.43,7.67,2771.9,11607.65
37926.7,21,0,Student,Tier_1,11378.01,6955.02,985.76,5111.41,2881.59,1501.69,1535.81,2969.4,1463.24,0.0,472.01,8.94,2672.77,2672.77
16940.65,46,0,Professional,Tier_2,3388.13,0.0,625.74,1867.17,864.38,673.03,416.57,715.86,622.86,0.0,405.8,7.75,1312.37,7361.12
133462.03,47,4,Self_Employed,Tier_2,26692.41,0.0,4609.0,14502.33,7832.47,5264.55,3892.28,9100.46,5425.46,11095.51,3146.48,16.78,22392.51,41901.07
43827.6,30,4,Student,Tier_3,6574.14,0.0,1237.46,6434.36,2376.79,1579.05,1272.31,3447.94,1791.42,4035.75,608.86,11.29,4949.3,14469.53
11566.98,32,0,Professional,Tier_2,2313.4,0.0,487.2,1607.5,649.18,557.35,392.31,783.33,539.05,0.0,285.77,9.36,1083.08,3951.9
50726.08,37,1,Self_Employed,Tier_2,10145.22,0.0,1455.05,5140.14,2657.05,2049.09,1735.12,3513.55,1641.83,3268.22,1209.43,10.14,5144.01,17911.39
13755.68,51,3,Self_Employed,Tier_3,2063.35,0.0,417.5,1652.48,794.35,276.83,505.54,575.29,629.93,1262.69,226.53,7.81,1075.0,5351.18
56309.6,45,3,Professional,Tier_1,16892.88,0.0,2308.63,6147.83,3223.14,2112.1,2558.36,4031.31,2704.74,4189.68,958.7,14.54,8189.45,11182.24
75798.15,37,4,Professional,Tier_2,15159.63,7498.87,2815.32,8779.33,4381.17,3108.57,3288.14,3343.6,2558.42,7310.32,1388.71,13.04,9882.84,16166.07
