Income,Age,Dependents,Occupation,City_Tier,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Desired_Savings_Percentage,Desired_Savings,Disposable_Income,Potential_Savings_Groceries,Potential_Savings_Transport,Potential_Savings_Eating_Out,Potential_Savings_Entertainment,Potential_Savings_Utilities,Potential_Savings_Healthcare,Potential_Savings_Education,Potential_Savings_Miscellaneous
96903.57,54,4,Retired,Tier_2,19380.71,9481.17,3585.07,14257.03,6271.72,2829.05,3879.58,4066.69,3956.93,6227.47,2131.73,13.55,13125.69,20836.43,4013.47,1649.69,584.64,200.13,451.54,191.91,295.42,404.04
25042.55,52,4,Self_Employed,Tier_2,5008.51,2898.04,914.22,3170.69,1947.5,1098.41,839.59,1321.02,1066.04,1470.45,407.47,5.75,1439.44,4900.62,859.65,335.61,218.41,161.42,355.09,50.18,33.31,70.79
31665.25,37,0,Student,Tier_1,9499.58,0.0,1034.49,4019.47,2180.72,1373.34,876.08,1686.6,1579.08,0.0,623.56,6.84,2164.46,8792.34,1182.46,273.2,126.66,262.09,294.82,39.03,0.0,186.74
9596.5,52,4,Retired,Tier_2,1919.3,0.0,320.45,1092.98,627.38,429.72,379.45,515.08,417.07,540.69,258.72,5.45,522.91,3095.66,309.58,86.11,72.54,52.32,142.54,6.44,15.95,21.1
19408.11,52,3,Retired,Tier_1,5822.43,2832.16,516.12,2486.69,1346.56,956.59,930.29,1041.33,592.63,1604.7,452.33,6.12,826.27,826.27,541.41,254.95,119.94,170.26,120.85,19.93,79.48,109.04
32783.83,37,3,Professional,Tier_2,6556.77,0.0,946.62,4815.61,1788.11,1519.47,1452.26,1557.94,1175.05,2225.12,973.88,9.37,3073.11,9773.0,322.69,491.95,258.49,293.9,192.61,35.05,68.57,251.97
11946.07,19,4,Student,Tier_2,2389.21,0.0,413.3,1363.79,641.89,475.93,497.31,699.28,404.44,782.14,130.97,5.61,670.45,4147.83,322.02,62.93,133.38,111.36,101.63,19.87,0.22,15.69
40518.38,35,0,Retired,Tier_3,6077.76,0.0,1992.04,6013.17,3205.86,1070.64,1146.63,2250.44,1221.91,0.0,1073.1,14.79,5993.96,16466.83,1338.34,502.89,77.74,271.53,266.61,47.51,0.0,61.6
18554.02,47,4,Self_Employed,Tier_2,3710.8,1192.22,916.64,2512.97,1393.71,674.69,773.19,1169.74,795.08,1575.38,416.6,9.66,1793.11,3422.99,338.69,400.0,151.12,189.38,128.21,29.77,31.68,111.91
23756.17,59,4,Student,Tier_2,4751.23,0.0,537.26,2635.31,1579.26,597.59,1039.08,1446.64,1068.19,2353.88,325.9,6.32,1502.4,7421.82,597.58,234.68,134.02,290.2,358.2,17.57,88.57,56.37
18538.17,46,1,Professional,Tier_2,3707.63,3359.64,874.84,2506.83,1186.58,729.46,409.26,946.04,746.65,1722.13,294.46,9.35,1734.17,2054.64,265.51,183.94,106.79,122.7,203.08,36.23,78.85,46.56
132028.78,56,2,Self_Employed,Tier_3,19804.32,0.0,4383.84,15998.75,7954.56,5733.45,4929.44,6807.52,5860.84,8512.72,2002.06,18.53,24469.69,50041.28,904.97,699.24,1558.12,691.32,750.97,62.94,412.59,308.42
29677.81,39,0,Retired,Tier_1,8903.34,2892.44,1002.34,3838.26,1959.41,769.22,1051.78,1756.56,1046.76,0.0,397.73,5.15,1527.7,6059.97,247.53,272.65,224.49,173.63,418.87,21.0,0.0,106.3
12871.67,46,2,Retired,Tier_2,2574.33,0.0,396.18,1841.4,1013.27,281.06,564.11,877.64,556.88,1265.06,347.85,8.86,1139.89,3153.88,247.21,227.24,69.44,50.97,231.99,24.28,47.18,81.47
57929.88,63,1,Retired,Tier_2,11585.98,0.0,2686.89,6416.2,3010.58,1164.43,2301.16,3995.6,1886.01,5289.48,772.63,13.17,7631.45,18820.94,1643.51,786.33,117.43,636.86,808.88,89.25,14.98,161.46
11296.83,27,2,Retired,Tier_2,2259.37,0.0,380.88,1382.73,763.56,553.77,456.43,701.87,503.31,804.28,202.74,8.67,979.96,3287.89,307.05,98.83,28.28,73.62,67.24,13.7,9.8,60.75
35455.85,37,4,Professional,Tier_3,5318.38,2757.06,715.15,4322.43,2783.75,951.33,1212.45,2596.99,1666.03,1978.03,976.52,5.76,2043.56,10177.72,833.33,148.98,199.46,110.19,301.23,6.41,39.53,260.51
6255.5,33,3,Self_Employed,Tier_2,1251.1,867.81,300.65,841.29,457.47,234.35,301.52,459.16,244.88,380.39,123.62,6.42,401.79,793.26,100.04,107.95,19.5,32.07,81.0,2.68,9.44,7.55
10367.22,23,0,Student,Tier_3,1555.08,736.93,510.3,1072.11,763.02,292.24,237.31,788.0,468.32,0.0,106.25,6.3,653.47,3837.64,142.43,189.38,31.76,32.61,177.34,13.03,0.0,10.65
35117.04,34,0,Retired,Tier_1,10535.11,0.0,1157.89,3839.29,2433.65,1225.26,905.52,2256.48,1563.45,0.0,1015.76,5.37,1886.1,10184.63,1009.95,457.1,176.96,163.23,188.01,61.26,0.0,256.27
54161.52,23,4,Self_Employed,Tier_1,16248.46,5389.56,1791.87,6609.12,4218.1,1305.24,2483.22,3827.45,1742.98,4771.63,599.71,10.88,5174.2,5174.2,597.39,500.0,97.73,573.79,199.14,41.12,100.81,143.37
34408.1,39,2,Self_Employed,Tier_2,6881.62,0.0,706.24,4377.81,2682.87,1174.12,821.54,2050.95,1117.52,3379.48,612.83,9.17,3155.76,10603.13,1070.41,594.52,252.99,46.43,333.15,32.58,48.72,92.04
27348.97,35,0,Self_Employed,Tier_3,4102.35,0.0,712.54,2794.21,1792.02,1316.56,836.46,1834.63,1129.63,0.0,682.78,5.6,1532.17,12147.8,250.69,268.03,233.27,143.62,161.11,4.6,0.0,44.29
23578.01,49,1,Self_Employed,Tier_2,4715.6,0.0,556.53,2880.5,1706.69,1147.91,492.81,1880.17,893.56,1435.08,669.47,9.96,2348.48,7199.68,740.94,221.97,95.27,26.86,528.26,37.15,65.33,114.62
9192.43,45,1,Professional,Tier_2,1838.49,1648.01,403.24,1204.57,732.1,299.63,299.46,696.37,390.48,880.13,257.62,9.68,542.32,542.32,136.63,136.51,72.15,73.14,76.74,4.13,35.25,70.16
16866.38,59,2,Self_Employed,Tier_2,3373.28,2840.34,598.13,1801.12,1070.35,666.25,731.23,1038.86,584.35,1000.93,183.92,9.65,1627.64,2977.62,316.14,285.42,168.33,100.24,63.54,13.37,39.59,28.94
20752.91,27,1,Professional,Tier_3,3112.94,0.0,595.2,2533.62,1260.47,813.83,1008.46,1548.44,778.79,1985.13,525.89,8.23,1708.77,6590.15,671.04,104.48,182.54,56.97,356.94,32.24,23.96,33.84
69888.08,58,3,Professional,Tier_1,20966.43,0.0,3336.29,9572.32,3724.99,2735.51,2271.87,2813.69,2620.61,6124.99,1935.46,13.36,9335.82,13785.94,1239.32,845.05,610.05,179.87,584.92,26.89,302.08,516.71
39491.76,39,4,Retired,Tier_2,7898.35,0.0,1555.33,4126.19,2765.23,1423.68,922.62,1731.28,1322.0,2299.32,595.8,7.64,3015.74,14851.97,895.11,665.36,139.56,239.21,314.79,0.96,2.62,57.39
7321.13,45,0,Student,Tier_2,1464.23,674.69,352.14,959.07,396.88,241.78,161.06,576.17,285.37,0.0,76.27,6.81,498.76,2133.47,74.0,76.63,56.47,44.33,72.01,4.98,0.0,21.05
38879.4,32,4,Student,Tier_2,7775.88,0.0,1074.13,4633.07,2588.91,983.05,1420.99,2168.05,1411.69,2562.39,1042.48,5.68,2206.55,13218.76,515.95,741.56,232.91,82.97,299.28,21.96,101.42,145.26
22046.01,60,2,Self_Employed,Tier_2,4409.2,2490.27,1013.99,2701.41,1142.21,821.01,894.4,1267.37,671.83,1918.14,242.7,6.09,1343.35,4473.48,300.59,176.11,238.63,64.86,83.76,31.95,77.76,43.22
17455.59,46,4,Self_Employed,Tier_1,5236.68,0.0,796.76,2060.14,1393.73,365.73,382.15,774.74,821.51,1605.99,274.65,6.11,1066.2,3743.51,309.46,139.58,105.12,54.25,47.63,39.18,52.72,58.49
48937.23,24,0,Student,Tier_3,7340.58,6173.58,2295.84,5099.51,3419.17,2342.88,2009.74,2740.59,2284.27,0.0,1077.69,11.25,5504.3,14153.39,1298.97,759.56,190.89,599.76,536.06,80.86,0.0,319.37
68442.71,51,0,Student,Tier_2,13688.54,9243.34,3047.28,8891.69,3535.36,3298.88,2383.72,4927.44,2414.48,0.0,1400.59,13.5,9241.34,15611.39,646.9,835.57,477.79,393.1,817.27,26.43,0.0,395.22
63194.77,49,2,Professional,Tier_2,12638.95,0.0,2792.23,7662.3,4519.1,3080.4,2395.13,3687.74,2341.21,5067.91,1221.79,13.04,8239.0,17787.99,905.28,355.27,319.88,698.27,220.94,55.83,40.44,85.11
15330.18,19,0,Self_Employed,Tier_2,3066.04,0.0,697.06,2176.94,1046.6,336.91,738.83,682.55,757.07,0.0,300.07,9.18,1406.58,5528.11,283.15,237.8,61.76,182.09,87.82,14.78,0.0,86.2
23425.55,43,1,Student,Tier_1,7027.67,2226.88,1098.16,3200.36,1660.43,736.04,599.83,1763.19,1032.46,2095.57,504.1,7.91,1480.87,1480.87,454.77,343.53,41.18,101.12,150.04,13.82,46.9,100.71
39103.35,62,4,Student,Tier_2,7820.67,0.0,1279.18,5043.78,2907.96,1609.32,924.51,2894.05,1800.87,3364.6,456.35,5.67,2217.69,11002.05,1217.83,621.04,365.71,273.16,405.68,75.51,48.01,96.6
65472.71,28,3,Professional,Tier_2,13094.54,0.0,1739.62,7322.75,4659.71,1770.7,3042.79,3519.55,2326.28,5264.07,1497.54,13.72,8984.3,21235.16,1730.95,261.08,146.86,484.09,374.39,99.14,241.29,431.91
20447.45,42,3,Retired,Tier_2,4089.49,0.0,453.19,2541.02,1126.61,905.67,857.37,1251.02,951.68,1830.87,497.99,5.3,1083.42,5942.53,528.84,251.2,185.6,110.34,124.12,44.55,52.63,96.12
25859.3,36,3,Professional,Tier_2,5171.86,0.0,730.63,3591.5,1500.23,700.6,736.95,1792.22,1201.78,1539.02,359.53,9.35,2417.37,8534.99,476.98,236.82,166.19,38.37,97.73,35.72,34.81,37.49
12380.58,37,2,Student,Tier_3,1857.09,1610.9,568.12,1310.76,688.4,261.64,305.95,918.7,601.6,927.38,204.76,9.16,1133.62,3125.29,179.82,39.59,58.26,46.68,207.59,14.96,20.09,42.19
11521.7,50,3,Self_Employed,Tier_2,2304.34,1912.46,575.08,1220.53,821.28,340.28,483.55,906.14,558.95,721.39,238.44,5.56,640.37,1439.27,327.98,136.6,28.75,108.45,136.37,23.48,15.65,41.42
57467.41,34,4,Retired,Tier_2,11493.48,8786.61,1878.73,6376.48,3566.1,1853.02,1270.23,3999.65,2054.33,3769.72,592.23,10.27,5901.44,11826.84,574.29,825.64,546.16,90.46,603.86,51.79,71.87,88.19
88782.49,47,0,Professional,Tier_1,26634.75,0.0,3022.11,12812.86,4607.54,2448.98,2167.96,3851.45,4132.2,0.0,1782.35,12.0,10652.29,27322.3,3460.46,317.26,453.91,623.92,455.07,185.87,0.0,433.98
28320.6,35,1,Retired,Tier_1,8496.18,0.0,900.06,3552.68,1829.55,1018.19,1358.74,1487.13,1083.42,1559.0,408.62,7.92,2243.56,6627.02,196.01,381.74,194.8,302.6,351.71,21.35,53.15,59.26
66955.2,49,3,Retired,Tier_2,13391.04,12898.37,2445.72,9963.13,4248.92,2279.56,2558.96,4079.74,2548.77,5497.39,1952.4,13.72,5091.19,5091.19,731.26,1094.86,533.08,421.08,980.32,115.36,66.69,455.94
40065.12,57,3,Professional,Tier_1,12019.54,3437.47,1375.86,5780.87,2679.45,2000.66,865.0,1953.84,1895.96,2634.52,477.41,10.21,4090.16,4944.55,1151.76,522.41,208.08,258.93,103.64,11.33,33.05,116.84
17905.39,62,3,Self_Employed,Tier_2,3581.08,0.0,725.52,1996.97,1385.99,845.78,861.57,1080.29,853.98,1159.59,303.94,7.05,1262.44,5110.69,411.71,210.27,70.95,98.29,137.33,8.32,47.27,41.08
40057.42,21,1,Student,Tier_3,6008.61,6078.13,1131.23,5980.37,2974.45,1853.96,1286.17,2869.59,1609.2,3873.88,798.53,13.13,5259.73,5593.3,799.08,527.46,406.42,95.18,573.25,80.3,132.27,169.91
102680.95,49,4,Student,Tier_2,20536.19,19761.33,3295.01,12785.34,7471.97,2304.44,4855.34,6328.41,3410.52,6922.77,1204.6,24.39,13805.02,13805.02,928.15,566.02,201.75,435.13,1535.71,106.55,294.29,232.72
29152.38,36,3,Self_Employed,Tier_2,5830.48,0.0,935.14,4183.83,1637.96,859.43,1197.84,2319.37,931.38,2780.7,723.19,7.93,2310.95,7753.06,913.04,235.59,214.16,116.99,543.05,46.11,60.83,36.65
104890.01,20,0,Retired,Tier_1,31467.0,6756.65,3100.59,12984.32,8099.09,3415.26,3890.05,8022.53,5070.91,0.0,1187.84,17.58,18438.71,20895.76,3799.94,1621.29,745.91,365.09,1661.85,218.12,0.0,134.7
3689.17,55,2,Self_Employed,Tier_1,1106.75,495.41,162.13,543.45,225.09,150.52,170.24,244.35,174.15,186.83,83.45,8.28,146.79,146.79,85.64,64.1,20.41,15.12,61.76,4.96,5.75,23.78
57900.12,45,1,Retired,Tier_1,17370.03,11444.47,2096.46,7942.67,3662.13,2816.31,2288.62,4065.15,2260.96,3600.37,1202.61,13.44,0.0,-849.65,1571.82,906.48,834.66,636.22,1172.46,94.77,78.91,181.28
32163.59,55,4,Professional,Tier_2,6432.72,1904.56,1183.61,4065.14,1640.4,1491.35,725.95,1709.84,1217.4,2345.35,435.97,5.61,1805.38,9011.3,925.74,472.57,324.22,198.3,180.24,60.09,43.99,65.52
23617.58,23,0,Retired,Tier_2,4723.52,0.0,643.22,3188.2,1642.41,781.01,655.31,1328.23,744.25,0.0,359.6,7.65,1807.12,9551.84,367.45,377.14,164.62,81.05,315.9,6.54,0.0,104.36
32285.11,57,1,Student,Tier_1,9685.53,3371.92,1056.34,3594.6,2527.66,655.18,780.14,1296.76,1182.0,3174.52,689.18,9.18,2963.08,4271.28,591.9,334.5,70.39,230.84,311.79,34.88,16.26,165.32
6117.43,34,1,Student,Tier_2,1223.49,383.87,185.6,873.24,353.38,250.12,195.24,453.03,196.79,314.13,159.51,7.82,478.48,1529.03,165.77,54.85,57.7,29.29,29.84,1.82,13.24,43.35
25165.14,59,2,Retired,Tier_2,5033.03,3469.49,1188.6,2860.21,1424.72,1090.72,968.45,1988.18,1198.34,1757.4,259.66,6.37,1604.25,3926.34,711.18,275.36,98.25,245.49,545.93,12.31,24.3,30.71
39920.4,22,2,Student,Tier_2,7984.08,7102.2,843.71,5176.88,2228.13,1878.38,1142.64,2105.53,1930.57,2590.43,860.03,5.98,2386.25,6077.82,1167.17,170.47,514.11,77.84,617.12,7.32,105.0,134.96
97857.53,36,4,Self_Employed,Tier_2,19571.51,0.0,2471.0,14635.83,5794.54,2144.71,4002.81,4257.25,2988.6,9185.09,1921.17,10.46,10239.77,30885.02,3005.22,1190.74,135.45,298.29,1040.47,7.23,18.42,513.72
19817.81,60,3,Retired,Tier_1,5945.34,1710.11,789.07,2034.25,1433.46,860.82,927.45,1211.91,909.92,1872.47,571.5,5.97,1183.56,1551.52,176.12,261.05,150.93,226.91,285.66,39.11,88.5,151.18
15711.65,59,2,Self_Employed,Tier_2,3142.33,1266.93,599.4,1706.88,1182.72,444.5,591.37,899.06,749.44,1026.43,294.11,9.9,1555.47,3808.49,169.22,309.75,101.72,76.82,219.61,9.92,32.68,55.56
20081.35,52,4,Student,Tier_2,4016.27,0.0,832.2,2697.79,1445.17,943.03,674.91,920.7,788.45,1878.34,566.38,9.62,1931.06,5318.12,775.11,185.06,172.66,56.81,86.09,33.68,57.48,109.38
62397.12,39,1,Self_Employed,Tier_3,9359.57,8081.25,1332.97,8226.48,3698.09,2269.87,1919.55,4147.94,2241.64,5064.32,1560.96,13.37,8341.54,14494.48,2216.93,374.42,349.94,534.0,317.99,89.31,249.73,228.57
39024.84,41,3,Retired,Tier_1,11707.45,4031.55,1813.75,5315.63,2716.79,1061.1,1038.23,2710.48,1789.24,2707.71,772.76,5.13,2001.77,3360.14,288.56,398.35,198.11,94.06,767.51,80.16,11.83,86.24
19636.48,27,0,Self_Employed,Tier_2,3927.3,0.0,941.16,1982.79,1337.53,958.85,512.79,981.26,728.36,0.0,212.72,7.19,1411.95,8053.74,493.61,299.16,186.51,45.8,256.55,27.9,0.0,36.69
45232.3,19,1,Self_Employed,Tier_1,13569.69,7866.64,1965.58,6066.9,2926.37,2231.07,1125.55,3237.05,1634.43,3858.72,1272.66,10.32,0.0,-522.36,1595.16,791.82,663.21,185.45,820.9,3.68,131.61,266.63
32422.72,45,4,Student,Tier_2,6484.54,0.0,818.44,4768.25,2125.86,1548.15,1095.62,1834.02,1376.86,1918.64,932.69,6.63,2150.42,9519.63,254.92,620.19,309.31,195.52,284.11,34.62,51.67,260.56
65112.29,58,0,Student,Tier_1,19533.69,4564.02,2843.21,7816.55,4281.67,2278.3,3059.93,3422.01,2382.89,0.0,1480.03,12.58,8192.99,13449.98,1783.35,393.46,433.05,475.51,443.74,116.24,0.0,436.43
17108.15,54,1,Retired,Tier_1,5132.44,3202.13,504.64,2130.12,948.79,383.3,693.68,748.08,679.26,1619.2,487.05,6.76,579.47,579.47,629.34,231.91,77.35,204.05,129.24,25.72,49.46,89.8
23082.34,34,2,Retired,Tier_2,4616.47,3961.18,566.92,3116.63,1796.62,938.62,604.76,1103.41,1060.61,1863.78,426.2,5.31,1225.87,3027.15,892.0,112.9,246.26,83.83,271.9,34.19,76.11,26.99
21922.44,23,4,Student,Tier_2,4384.49,0.0,491.76,3157.34,1536.22,1020.5,600.23,1666.47,686.25,1602.27,510.4,7.9,1731.75,6266.49,571.98,297.59,157.69,146.26,249.72,29.86,34.66,94.44
9303.45,60,0,Professional,Tier_2,1860.69,486.26,199.23,1280.85,715.37,399.38,233.44,550.67,440.68,0.0,103.93,7.47,695.43,3032.96,193.67,121.0,36.4,34.56,78.97,10.92,0.0,25.5
38019.29,22,2,Student,Tier_2,7603.86,3488.95,1721.13,5630.32,2250.12,1505.18,904.19,3024.0,1354.77,3210.06,964.34,5.45,2070.68,6362.37,1234.41,537.33,173.96,184.71,580.14,25.62,37.79,262.47
36967.59,56,0,Professional,Tier_2,7393.52,6914.39,1674.35,5063.2,2305.1,1371.89,1723.96,2410.98,1839.22,0.0,595.3,7.93,2932.4,5675.69,1160.56,655.58,179.54,119.22,154.3,40.88,0.0,139.25
30122.97,24,3,Self_Employed,Tier_2,6024.59,0.0,632.41,3443.92,1815.04,1467.88,1172.22,1319.48,954.8,2047.8,858.72,5.97,1798.68,10386.12,827.65,256.03,420.94,320.97,222.78,41.72,43.89,159.71
24866.65,49,3,Retired,Tier_1,7460.0,4433.24,1031.19,3600.21,1877.65,1225.3,689.28,1649.51,1020.5,2083.61,388.01,6.37,0.0,-591.85,189.13,468.62,282.12,68.9,201.66,28.87,66.11,58.8
9668.77,21,4,Self_Employed,Tier_2,1933.75,1198.47,267.08,1212.55,654.28,380.82,283.74,436.36,320.57,515.05,184.37,7.69,743.37,2281.73,115.67,73.21,24.07,49.29,58.61,13.21,2.96,10.95
21427.63,38,0,Self_Employed,Tier_2,4285.53,0.0,571.74,3126.67,1220.82,600.24,652.74,1575.78,717.3,0.0,398.72,9.74,2088.12,8278.11,330.56,153.97,87.42,175.87,127.0,21.48,0.0,98.49
22806.05,59,3,Student,Tier_2,4561.21,0.0,840.64,2355.52,1488.17,751.98,882.13,1648.19,833.38,1704.37,659.27,9.33,2127.81,7081.18,585.43,367.49,159.05,90.46,423.77,30.98,43.13,192.47
15789.98,49,1,Retired,Tier_1,4736.99,0.0,532.71,2090.02,1051.51,407.77,618.73,799.47,746.33,958.2,409.76,7.77,1227.49,3438.49,471.71,119.67,115.8,63.66,66.54,28.32,24.23,25.11
26368.47,35,1,Professional,Tier_1,7910.54,0.0,677.01,2654.59,1995.33,692.15,657.05,1840.05,1309.69,1767.99,391.0,6.49,1712.09,6473.07,545.03,494.98,78.58,140.94,155.5,40.16,63.59,105.07
41447.94,50,3,Student,Tier_1,12434.38,0.0,836.02,4455.13,2401.54,1092.16,1572.33,2866.17,1565.76,3841.34,932.4,14.08,5835.11,9450.71,588.98,408.15,295.36,455.62,274.62,12.67,150.71,233.64
135659.23,31,3,Student,Tier_1,40697.77,17920.39,4025.79,15621.22,7877.77,2747.1,3480.59,7084.41,5110.14,8475.79,3471.02,16.84,19147.25,19147.25,3719.43,1209.56,417.48,1016.57,809.07,9.04,214.61,216.91
34496.56,23,4,Self_Employed,Tier_3,5174.48,0.0,1109.51,4724.97,1872.87,693.8,707.15,2225.51,1450.97,1892.46,882.83,7.73,2666.49,13762.0,812.88,259.56,74.38,189.12,325.56,46.25,3.43,88.76
36864.08,28,4,Professional,Tier_3,5529.61,2290.09,1262.84,4459.51,1998.38,1623.57,992.48,1489.92,1460.57,2615.36,477.92,7.73,2849.06,12663.83,350.79,205.03,151.7,157.25,271.84,53.66,12.21,93.46
28265.46,63,1,Student,Tier_2,5653.09,4804.32,911.45,3452.86,1499.81,955.95,1234.47,1553.5,990.56,2206.65,643.96,9.9,2798.52,4358.82,748.43,322.68,232.66,322.07,179.05,15.98,34.18,132.69
6463.56,37,2,Retired,Tier_1,1939.07,0.0,203.03,741.83,327.94,135.01,284.45,298.56,223.32,559.2,124.42,7.7,497.96,1626.73,123.02,80.53,25.13,41.09,36.86,1.92,20.18,35.13
29370.37,46,0,Professional,Tier_3,4405.56,0.0,1436.18,4175.52,1664.67,1318.92,719.28,1307.95,1422.44,0.0,301.58,5.16,1515.52,12618.28,1010.33,216.32,211.09,198.79,214.94,48.62,0.0,49.89
31480.92,52,2,Student,Tier_2,6296.18,1934.59,1498.44,4664.78,1817.57,1063.42,1149.12,2112.01,1041.04,2379.72,428.22,6.85,2155.72,7095.83,841.94,174.02,259.77,78.16,629.78,49.64,113.19,80.63
215248.05,33,4,Self_Employed,Tier_1,64574.41,0.0,6831.17,32106.59,14442.53,6799.33,8137.37,9135.52,7191.38,20390.17,5644.64,23.63,39994.94,39994.94,9206.51,752.64,1233.85,828.68,2536.37,24.67,345.05,1065.26
25721.02,24,2,Student,Tier_2,5144.2,3770.32,1240.83,3243.18,1489.05,536.58,852.2,1138.36,1164.22,2467.45,392.08,5.88,1513.26,4282.55,740.44,236.26,34.23,207.51,77.19,33.1,50.54,32.86
38184.71,57,4,Professional,Tier_2,7636.94,2561.59,863.5,3902.73,2969.55,1166.49,1648.61,2375.01,1893.45,3338.35,1050.88,9.7,3705.79,8777.61,792.43,452.9,120.64,124.49,137.04,87.01,63.71,313.52
