Income,Age,Dependents,Occupation,City_Tier,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Desired_Savings_Percentage,Desired_Savings,Disposable_Income,Gasto_Fijo,Gastos_variables
36407.22,54,3,Retired,Tier_1,10922.17,4583.25,970.79,4685.67,2503.09,1328.96,822.88,2335.94,1153.75,1940.13,570.12,7.53,2743.08,4590.47,21021.850000000002,6211.650000000001
6492.02,22,3,Retired,Tier_3,973.8,0.0,184.24,955.5,494.82,309.24,229.83,471.87,222.65,590.05,179.09,7.15,464.29,1880.93,3198.41,1412.68
7547.85,39,4,Self_Employed,Tier_2,1509.57,0.0,330.19,1032.73,568.24,266.44,277.47,510.6,235.71,521.98,133.49,5.46,412.21,2161.46,3962.71,1423.71
19132.1,45,2,Student,Tier_2,3826.42,2525.41,590.19,2515.72,1164.07,661.75,660.75,1159.58,919.43,1442.91,461.51,8.02,1533.96,3204.35,9539.31,3863.02
13342.21,62,4,Retired,Tier_2,2668.44,2540.48,352.89,1920.1,961.38,622.27,331.7,985.63,531.56,1043.2,286.26,8.14,1086.13,1098.29,6946.01,2757.4199999999996
38574.65,21,4,Professional,Tier_2,7714.93,0.0,1838.34,5126.82,2614.48,1267.55,1802.74,2081.39,1196.04,3475.98,843.8,6.91,2666.09,10612.58,20770.55,7191.5199999999995
14509.13,55,4,Student,Tier_1,4352.74,829.44,438.6,1506.25,811.7,515.58,414.23,766.34,656.65,1449.96,285.02,7.24,1049.97,2482.61,8559.25,2637.82
9692.52,46,0,Professional,Tier_2,1938.5,0.0,217.59,1306.54,562.1,396.06,427.91,723.64,305.65,0.0,155.46,5.22,505.94,3659.07,4024.73,2008.72
96903.57,54,4,Retired,Tier_2,19380.71,9481.17,3585.07,14257.03,6271.72,2829.05,3879.58,4066.69,3956.93,6227.47,2131.73,13.55,13125.69,20836.43,49722.0,16863.980000000003
25042.55,52,4,Self_Employed,Tier_2,5008.51,2898.04,914.22,3170.69,1947.5,1098.41,839.59,1321.02,1066.04,1470.45,407.47,5.75,1439.44,4900.62,12511.37,4732.53
31665.25,37,0,Student,Tier_1,9499.58,0.0,1034.49,4019.47,2180.72,1373.34,876.08,1686.6,1579.08,0.0,623.56,6.84,2164.46,8792.34,16734.26,6138.66
9596.5,52,4,Retired,Tier_2,1919.3,0.0,320.45,1092.98,627.38,429.72,379.45,515.08,417.07,540.69,258.72,5.45,522.91,3095.66,4500.799999999999,2000.04
19408.11,52,3,Retired,Tier_1,5822.43,2832.16,516.12,2486.69,1346.56,956.59,930.29,1041.33,592.63,1604.7,452.33,6.12,826.27,826.27,11776.500000000002,3973.17
32783.83,37,3,Professional,Tier_2,6556.77,0.0,946.62,4815.61,1788.11,1519.47,1452.26,1557.94,1175.05,2225.12,973.88,9.37,3073.11,9773.0,16332.230000000003,6678.6
11946.07,19,4,Student,Tier_2,2389.21,0.0,413.3,1363.79,641.89,475.93,497.31,699.28,404.44,782.14,130.97,5.61,670.45,4147.83,5590.33,2207.9300000000003
40518.38,35,0,Retired,Tier_3,6077.76,0.0,1992.04,6013.17,3205.86,1070.64,1146.63,2250.44,1221.91,0.0,1073.1,14.79,5993.96,16466.83,17288.83,6762.72
18554.02,47,4,Self_Employed,Tier_2,3710.8,1192.22,916.64,2512.97,1393.71,674.69,773.19,1169.74,795.08,1575.38,416.6,9.66,1793.11,3422.99,10109.5,3829.3
23756.17,59,4,Student,Tier_2,4751.23,0.0,537.26,2635.31,1579.26,597.59,1039.08,1446.64,1068.19,2353.88,325.9,6.32,1502.4,7421.82,11856.939999999999,4477.4
18538.17,46,1,Professional,Tier_2,3707.63,3359.64,874.84,2506.83,1186.58,729.46,409.26,946.04,746.65,1722.13,294.46,9.35,1734.17,2054.64,9998.009999999998,3125.87
132028.78,56,2,Self_Employed,Tier_3,19804.32,0.0,4383.84,15998.75,7954.56,5733.45,4929.44,6807.52,5860.84,8512.72,2002.06,18.53,24469.69,50041.28,56654.19,25333.309999999998
29677.81,39,0,Retired,Tier_1,8903.34,2892.44,1002.34,3838.26,1959.41,769.22,1051.78,1756.56,1046.76,0.0,397.73,5.15,1527.7,6059.97,15703.35,5022.05
12871.67,46,2,Retired,Tier_2,2574.33,0.0,396.18,1841.4,1013.27,281.06,564.11,877.64,556.88,1265.06,347.85,8.86,1139.89,3153.88,7090.24,2627.54
57929.88,63,1,Retired,Tier_2,11585.98,0.0,2686.89,6416.2,3010.58,1164.43,2301.16,3995.6,1886.01,5289.48,772.63,13.17,7631.45,18820.94,28989.129999999997,10119.83
11296.83,27,2,Retired,Tier_2,2259.37,0.0,380.88,1382.73,763.56,553.77,456.43,701.87,503.31,804.28,202.74,8.67,979.96,3287.89,5590.82,2418.12
35455.85,37,4,Professional,Tier_3,5318.38,2757.06,715.15,4322.43,2783.75,951.33,1212.45,2596.99,1666.03,1978.03,976.52,5.76,2043.56,10177.72,15117.740000000002,7403.32
6255.5,33,3,Self_Employed,Tier_2,1251.1,867.81,300.65,841.29,457.47,234.35,301.52,459.16,244.88,380.39,123.62,6.42,401.79,793.26,3230.8999999999996,1363.53
10367.22,23,0,Student,Tier_3,1555.08,736.93,510.3,1072.11,763.02,292.24,237.31,788.0,468.32,0.0,106.25,6.3,653.47,3837.64,3900.51,1892.12
35117.04,34,0,Retired,Tier_1,10535.11,0.0,1157.89,3839.29,2433.65,1225.26,905.52,2256.48,1563.45,0.0,1015.76,5.37,1886.1,10184.63,17965.94,6966.469999999999
54161.52,23,4,Self_Employed,Tier_1,16248.46,5389.56,1791.87,6609.12,4218.1,1305.24,2483.22,3827.45,1742.98,4771.63,599.71,10.88,5174.2,5174.2,33639.17999999999,9958.599999999999
34408.1,39,2,Self_Employed,Tier_2,6881.62,0.0,706.24,4377.81,2682.87,1174.12,821.54,2050.95,1117.52,3379.48,612.83,9.17,3155.76,10603.13,18028.02,5776.96
27348.97,35,0,Self_Employed,Tier_3,4102.35,0.0,712.54,2794.21,1792.02,1316.56,836.46,1834.63,1129.63,0.0,682.78,5.6,1532.17,12147.8,9401.120000000003,5800.06
23578.01,49,1,Self_Employed,Tier_2,4715.6,0.0,556.53,2880.5,1706.69,1147.91,492.81,1880.17,893.56,1435.08,669.47,9.96,2348.48,7199.68,11294.400000000001,5083.920000000001
9192.43,45,1,Professional,Tier_2,1838.49,1648.01,403.24,1204.57,732.1,299.63,299.46,696.37,390.48,880.13,257.62,9.68,542.32,542.32,5058.53,1943.56
16866.38,59,2,Self_Employed,Tier_2,3373.28,2840.34,598.13,1801.12,1070.35,666.25,731.23,1038.86,584.35,1000.93,183.92,9.65,1627.64,2977.62,7843.81,3204.61
20752.91,27,1,Professional,Tier_3,3112.94,0.0,595.2,2533.62,1260.47,813.83,1008.46,1548.44,778.79,1985.13,525.89,8.23,1708.77,6590.15,9487.36,4675.41
69888.08,58,3,Professional,Tier_1,20966.43,0.0,3336.29,9572.32,3724.99,2735.51,2271.87,2813.69,2620.61,6124.99,1935.46,13.36,9335.82,13785.94,43725.02,12377.14
39491.76,39,4,Retired,Tier_2,7898.35,0.0,1555.33,4126.19,2765.23,1423.68,922.62,1731.28,1322.0,2299.32,595.8,7.64,3015.74,14851.97,18644.420000000002,5995.38
7321.13,45,0,Student,Tier_2,1464.23,674.69,352.14,959.07,396.88,241.78,161.06,576.17,285.37,0.0,76.27,6.81,498.76,2133.47,3172.32,1340.6499999999999
38879.4,32,4,Student,Tier_2,7775.88,0.0,1074.13,4633.07,2588.91,983.05,1420.99,2168.05,1411.69,2562.39,1042.48,5.68,2206.55,13218.76,18634.38,7026.26
22046.01,60,2,Self_Employed,Tier_2,4409.2,2490.27,1013.99,2701.41,1142.21,821.01,894.4,1267.37,671.83,1918.14,242.7,6.09,1343.35,4473.48,11184.949999999999,3897.31
17455.59,46,4,Self_Employed,Tier_1,5236.68,0.0,796.76,2060.14,1393.73,365.73,382.15,774.74,821.51,1605.99,274.65,6.11,1066.2,3743.51,11093.3,2618.78
48937.23,24,0,Student,Tier_3,7340.58,6173.58,2295.84,5099.51,3419.17,2342.88,2009.74,2740.59,2284.27,0.0,1077.69,11.25,5504.3,14153.39,18155.1,10455.17
68442.71,51,0,Student,Tier_2,13688.54,9243.34,3047.28,8891.69,3535.36,3298.88,2383.72,4927.44,2414.48,0.0,1400.59,13.5,9241.34,15611.39,29162.870000000003,14425.109999999999
63194.77,49,2,Professional,Tier_2,12638.95,0.0,2792.23,7662.3,4519.1,3080.4,2395.13,3687.74,2341.21,5067.91,1221.79,13.04,8239.0,17787.99,32680.49,12726.27
15330.18,19,0,Self_Employed,Tier_2,3066.04,0.0,697.06,2176.94,1046.6,336.91,738.83,682.55,757.07,0.0,300.07,9.18,1406.58,5528.11,6986.639999999999,2815.43
23425.55,43,1,Student,Tier_1,7027.67,2226.88,1098.16,3200.36,1660.43,736.04,599.83,1763.19,1032.46,2095.57,504.1,7.91,1480.87,1480.87,15082.19,4635.62
39103.35,62,4,Student,Tier_2,7820.67,0.0,1279.18,5043.78,2907.96,1609.32,924.51,2894.05,1800.87,3364.6,456.35,5.67,2217.69,11002.05,20416.19,7685.1
65472.71,28,3,Professional,Tier_2,13094.54,0.0,1739.62,7322.75,4659.71,1770.7,3042.79,3519.55,2326.28,5264.07,1497.54,13.72,8984.3,21235.16,32080.69,12156.86
20447.45,42,3,Retired,Tier_2,4089.49,0.0,453.19,2541.02,1126.61,905.67,857.37,1251.02,951.68,1830.87,497.99,5.3,1083.42,5942.53,10041.18,4463.73
25859.3,36,3,Professional,Tier_2,5171.86,0.0,730.63,3591.5,1500.23,700.6,736.95,1792.22,1201.78,1539.02,359.53,9.35,2417.37,8534.99,12533.24,4791.08
12380.58,37,2,Student,Tier_3,1857.09,1610.9,568.12,1310.76,688.4,261.64,305.95,918.7,601.6,927.38,204.76,9.16,1133.62,3125.29,5351.75,2292.6499999999996
11521.7,50,3,Self_Employed,Tier_2,2304.34,1912.46,575.08,1220.53,821.28,340.28,483.55,906.14,558.95,721.39,238.44,5.56,640.37,1439.27,5642.62,2527.36
57467.41,34,4,Retired,Tier_2,11493.48,8786.61,1878.73,6376.48,3566.1,1853.02,1270.23,3999.65,2054.33,3769.72,592.23,10.27,5901.44,11826.84,27084.51,9769.46
88782.49,47,0,Professional,Tier_1,26634.75,0.0,3022.11,12812.86,4607.54,2448.98,2167.96,3851.45,4132.2,0.0,1782.35,12.0,10652.29,27322.3,47077.26,14382.939999999999
28320.6,35,1,Retired,Tier_1,8496.18,0.0,900.06,3552.68,1829.55,1018.19,1358.74,1487.13,1083.42,1559.0,408.62,7.92,2243.56,6627.02,16337.47,5356.1
66955.2,49,3,Retired,Tier_2,13391.04,12898.37,2445.72,9963.13,4248.92,2279.56,2558.96,4079.74,2548.77,5497.39,1952.4,13.72,5091.19,5091.19,35546.2,13419.43
40065.12,57,3,Professional,Tier_1,12019.54,3437.47,1375.86,5780.87,2679.45,2000.66,865.0,1953.84,1895.96,2634.52,477.41,10.21,4090.16,4944.55,24490.24,7192.87
17905.39,62,3,Self_Employed,Tier_2,3581.08,0.0,725.52,1996.97,1385.99,845.78,861.57,1080.29,853.98,1159.59,303.94,7.05,1262.44,5110.69,8849.15,3945.5600000000004
40057.42,21,1,Student,Tier_3,6008.61,6078.13,1131.23,5980.37,2974.45,1853.96,1286.17,2869.59,1609.2,3873.88,798.53,13.13,5259.73,5593.3,19968.54,8417.45
102680.95,49,4,Student,Tier_2,20536.19,19761.33,3295.01,12785.34,7471.97,2304.44,4855.34,6328.41,3410.52,6922.77,1204.6,24.39,13805.02,13805.02,51011.28,18103.31
29152.38,36,3,Self_Employed,Tier_2,5830.48,0.0,935.14,4183.83,1637.96,859.43,1197.84,2319.37,931.38,2780.7,723.19,7.93,2310.95,7753.06,15368.11,6031.21
104890.01,20,0,Retired,Tier_1,31467.0,6756.65,3100.59,12984.32,8099.09,3415.26,3890.05,8022.53,5070.91,0.0,1187.84,17.58,18438.71,20895.76,55651.0,21586.59
3689.17,55,2,Self_Employed,Tier_1,1106.75,495.41,162.13,543.45,225.09,150.52,170.24,244.35,174.15,186.83,83.45,8.28,146.79,146.79,2224.25,822.71
57900.12,45,1,Retired,Tier_1,17370.03,11444.47,2096.46,7942.67,3662.13,2816.31,2288.62,4065.15,2260.96,3600.37,1202.61,13.44,0.0,-849.65,34671.66,12633.649999999998
32163.59,55,4,Professional,Tier_2,6432.72,1904.56,1183.61,4065.14,1640.4,1491.35,725.95,1709.84,1217.4,2345.35,435.97,5.61,1805.38,9011.3,15667.220000000001,5580.509999999999
23617.58,23,0,Retired,Tier_2,4723.52,0.0,643.22,3188.2,1642.41,781.01,655.31,1328.23,744.25,0.0,359.6,7.65,1807.12,9551.84,10197.35,3868.4
32285.11,57,1,Student,Tier_1,9685.53,3371.92,1056.34,3594.6,2527.66,655.18,780.14,1296.76,1182.0,3174.52,689.18,9.18,2963.08,4271.28,20038.65,4603.26
6117.43,34,1,Student,Tier_2,1223.49,383.87,185.6,873.24,353.38,250.12,195.24,453.03,196.79,314.13,159.51,7.82,478.48,1529.03,2949.8399999999997,1254.69
25165.14,59,2,Retired,Tier_2,5033.03,3469.49,1188.6,2860.21,1424.72,1090.72,968.45,1988.18,1198.34,1757.4,259.66,6.37,1604.25,3926.34,12263.96,5505.35
39920.4,22,2,Student,Tier_2,7984.08,7102.2,843.71,5176.88,2228.13,1878.38,1142.64,2105.53,1930.57,2590.43,860.03,5.98,2386.25,6077.82,18823.23,7917.150000000001
97857.53,36,4,Self_Employed,Tier_2,19571.51,0.0,2471.0,14635.83,5794.54,2144.71,4002.81,4257.25,2988.6,9185.09,1921.17,10.46,10239.77,30885.02,51657.97,15314.54
19817.81,60,3,Retired,Tier_1,5945.34,1710.11,789.07,2034.25,1433.46,860.82,927.45,1211.91,909.92,1872.47,571.5,5.97,1183.56,1551.52,12074.589999999998,4481.6
15711.65,59,2,Self_Employed,Tier_2,3142.33,1266.93,599.4,1706.88,1182.72,444.5,591.37,899.06,749.44,1026.43,294.11,9.9,1555.47,3808.49,7657.76,2978.48
20081.35,52,4,Student,Tier_2,4016.27,0.0,832.2,2697.79,1445.17,943.03,674.91,920.7,788.45,1878.34,566.38,9.62,1931.06,5318.12,10869.77,3893.4699999999993
62397.12,39,1,Self_Employed,Tier_3,9359.57,8081.25,1332.97,8226.48,3698.09,2269.87,1919.55,4147.94,2241.64,5064.32,1560.96,13.37,8341.54,14494.48,27681.43,12139.96
39024.84,41,3,Retired,Tier_1,11707.45,4031.55,1813.75,5315.63,2716.79,1061.1,1038.23,2710.48,1789.24,2707.71,772.76,5.13,2001.77,3360.14,24261.33,7371.8099999999995
19636.48,27,0,Self_Employed,Tier_2,3927.3,0.0,941.16,1982.79,1337.53,958.85,512.79,981.26,728.36,0.0,212.72,7.19,1411.95,8053.74,8188.78,3393.98
45232.3,19,1,Self_Employed,Tier_1,13569.69,7866.64,1965.58,6066.9,2926.37,2231.07,1125.55,3237.05,1634.43,3858.72,1272.66,10.32,0.0,-522.36,28387.260000000002,9500.76
32422.72,45,4,Student,Tier_2,6484.54,0.0,818.44,4768.25,2125.86,1548.15,1095.62,1834.02,1376.86,1918.64,932.69,6.63,2150.42,9519.63,16115.73,6787.34
65112.29,58,0,Student,Tier_1,19533.69,4564.02,2843.21,7816.55,4281.67,2278.3,3059.93,3422.01,2382.89,0.0,1480.03,12.58,8192.99,13449.98,34475.12,12623.16
17108.15,54,1,Retired,Tier_1,5132.44,3202.13,504.64,2130.12,948.79,383.3,693.68,748.08,679.26,1619.2,487.05,6.76,579.47,579.47,10335.189999999999,2991.37
23082.34,34,2,Retired,Tier_2,4616.47,3961.18,566.92,3116.63,1796.62,938.62,604.76,1103.41,1060.61,1863.78,426.2,5.31,1225.87,3027.15,11960.420000000002,4133.6
21922.44,23,4,Student,Tier_2,4384.49,0.0,491.76,3157.34,1536.22,1020.5,600.23,1666.47,686.25,1602.27,510.4,7.9,1731.75,6266.49,11172.08,4483.85
9303.45,60,0,Professional,Tier_2,1860.69,486.26,199.23,1280.85,715.37,399.38,233.44,550.67,440.68,0.0,103.93,7.47,695.43,3032.96,4056.14,1728.1000000000001
38019.29,22,2,Student,Tier_2,7603.86,3488.95,1721.13,5630.32,2250.12,1505.18,904.19,3024.0,1354.77,3210.06,964.34,5.45,2070.68,6362.37,20415.49,7752.480000000001
36967.59,56,0,Professional,Tier_2,7393.52,6914.39,1674.35,5063.2,2305.1,1371.89,1723.96,2410.98,1839.22,0.0,595.3,7.93,2932.4,5675.69,16436.17,7941.35
30122.97,24,3,Self_Employed,Tier_2,6024.59,0.0,632.41,3443.92,1815.04,1467.88,1172.22,1319.48,954.8,2047.8,858.72,5.97,1798.68,10386.12,13963.759999999998,5773.1
24866.65,49,3,Retired,Tier_1,7460.0,4433.24,1031.19,3600.21,1877.65,1225.3,689.28,1649.51,1020.5,2083.61,388.01,6.37,0.0,-591.85,16052.660000000002,4972.599999999999
9668.77,21,4,Self_Employed,Tier_2,1933.75,1198.47,267.08,1212.55,654.28,380.82,283.74,436.36,320.57,515.05,184.37,7.69,743.37,2281.73,4582.71,1605.86
21427.63,38,0,Self_Employed,Tier_2,4285.53,0.0,571.74,3126.67,1220.82,600.24,652.74,1575.78,717.3,0.0,398.72,9.74,2088.12,8278.11,9204.76,3944.7799999999997
22806.05,59,3,Student,Tier_2,4561.21,0.0,840.64,2355.52,1488.17,751.98,882.13,1648.19,833.38,1704.37,659.27,9.33,2127.81,7081.18,10949.91,4774.95
15789.98,49,1,Retired,Tier_1,4736.99,0.0,532.71,2090.02,1051.51,407.77,618.73,799.47,746.33,958.2,409.76,7.77,1227.49,3438.49,9369.43,2982.06
26368.47,35,1,Professional,Tier_1,7910.54,0.0,677.01,2654.59,1995.33,692.15,657.05,1840.05,1309.69,1767.99,391.0,6.49,1712.09,6473.07,15005.46,4889.9400000000005
41447.94,50,3,Student,Tier_1,12434.38,0.0,836.02,4455.13,2401.54,1092.16,1572.33,2866.17,1565.76,3841.34,932.4,14.08,5835.11,9450.71,23968.41,8028.820000000001
135659.23,31,3,Student,Tier_1,40697.77,17920.39,4025.79,15621.22,7877.77,2747.1,3480.59,7084.41,5110.14,8475.79,3471.02,16.84,19147.25,19147.25,76698.34,21893.260000000002
34496.56,23,4,Self_Employed,Tier_3,5174.48,0.0,1109.51,4724.97,1872.87,693.8,707.15,2225.51,1450.97,1892.46,882.83,7.73,2666.49,13762.0,14774.29,5960.26
36864.08,28,4,Professional,Tier_3,5529.61,2290.09,1262.84,4459.51,1998.38,1623.57,992.48,1489.92,1460.57,2615.36,477.92,7.73,2849.06,12663.83,15865.7,6044.459999999999
28265.46,63,1,Student,Tier_2,5653.09,4804.32,911.45,3452.86,1499.81,955.95,1234.47,1553.5,990.56,2206.65,643.96,9.9,2798.52,4358.82,13723.86,5378.44
6463.56,37,2,Retired,Tier_1,1939.07,0.0,203.03,741.83,327.94,135.01,284.45,298.56,223.32,559.2,124.42,7.7,497.96,1626.73,3771.0699999999997,1065.76
29370.37,46,0,Professional,Tier_3,4405.56,0.0,1436.18,4175.52,1664.67,1318.92,719.28,1307.95,1422.44,0.0,301.58,5.16,1515.52,12618.28,11681.93,5070.169999999999
31480.92,52,2,Student,Tier_2,6296.18,1934.59,1498.44,4664.78,1817.57,1063.42,1149.12,2112.01,1041.04,2379.72,428.22,6.85,2155.72,7095.83,16656.69,5793.81
215248.05,33,4,Self_Employed,Tier_1,64574.41,0.0,6831.17,32106.59,14442.53,6799.33,8137.37,9135.52,7191.38,20390.17,5644.64,23.63,39994.94,39994.94,138344.87,36908.24
25721.02,24,2,Student,Tier_2,5144.2,3770.32,1240.83,3243.18,1489.05,536.58,852.2,1138.36,1164.22,2467.45,392.08,5.88,1513.26,4282.55,13584.71,4083.4399999999996
38184.71,57,4,Professional,Tier_2,7636.94,2561.59,863.5,3902.73,2969.55,1166.49,1648.61,2375.01,1893.45,3338.35,1050.88,9.7,3705.79,8777.61,18711.07,8134.44
29178.38,53,2,Self_Employed,Tier_1,8753.51,0.0,594.71,3061.04,1498.59,597.46,1320.65,2204.69,919.48,2116.95,325.62,7.55,2201.73,7785.68,16024.8,5367.9
11778.25,61,1,Student,Tier_1,3533.48,0.0,352.46,1691.66,739.37,286.26,437.32,769.64,544.34,1014.74,162.42,9.0,1059.73,2246.56,7331.71,2199.98
74847.72,61,4,Professional,Tier_2,14969.54,0.0,1912.99,9718.61,4131.41,2628.29,1533.13,3804.38,3031.71,5526.45,2170.26,12.19,9127.51,25420.96,36259.0,13167.77
54748.16,48,1,Professional,Tier_1,16424.45,0.0,2251.94,5969.26,2810.43,1797.27,2646.39,4017.78,1720.64,4873.44,556.57,13.14,7191.36,11679.98,32329.519999999997,10738.650000000001
56487.7,59,2,Self_Employed,Tier_1,16946.31,6499.08,2191.04,7164.96,3471.32,1247.13,1534.79,3358.89,2733.46,3693.34,1567.85,12.75,6079.53,6079.53,33466.97,10442.119999999999
14493.31,61,3,Self_Employed,Tier_1,4347.99,0.0,713.57,1895.23,1017.21,307.75,512.48,642.92,457.29,1034.24,220.79,8.78,1271.97,3343.84,9008.24,2141.23
92151.4,60,3,Retired,Tier_3,13822.71,0.0,3927.21,13165.17,7110.06,3629.76,2986.46,7156.3,3907.24,8200.1,2309.73,14.05,12945.81,25936.66,46225.25,19989.489999999998
9773.91,60,0,Retired,Tier_2,1954.78,0.0,311.23,1300.04,498.31,250.12,289.57,532.72,414.1,0.0,128.84,8.49,830.04,4094.2,4064.36,1615.3500000000001
47975.14,64,3,Student,Tier_2,9595.03,4989.79,1346.42,5957.81,3559.26,2305.32,1266.94,3437.31,2070.53,4561.2,645.19,12.0,5757.08,8240.34,25019.720000000005,9725.29
173046.77,23,0,Retired,Tier_2,34609.35,0.0,3744.0,22522.23,9437.52,6470.91,7193.01,12142.74,7967.35,0.0,4602.97,23.36,40421.09,64356.68,70313.09999999999,38376.98
13582.31,46,2,Retired,Tier_2,2716.46,0.0,379.31,1449.14,833.01,331.87,318.53,887.78,610.08,1210.67,208.66,6.46,877.24,4636.81,6588.590000000001,2356.92
19070.82,44,0,Self_Employed,Tier_2,3814.16,0.0,485.72,2140.12,1324.14,803.55,876.52,1024.19,614.94,0.0,430.0,7.5,1429.64,7557.48,7764.14,3749.2
32489.55,60,0,Student,Tier_1,9746.86,3646.06,1467.64,4108.93,1897.52,1407.39,1330.91,2311.06,1434.18,0.0,438.71,7.37,2394.72,4700.3,17220.95,6922.25
20053.76,19,0,Professional,Tier_2,4010.75,0.0,597.11,2219.77,1550.13,775.56,764.7,1523.5,611.5,0.0,477.96,5.28,1058.26,7522.77,8377.76,4153.22
8676.92,39,1,Self_Employed,Tier_1,2603.08,1185.41,351.51,1295.2,573.6,361.43,320.53,680.42,406.55,829.88,96.18,7.26,0.0,-26.86,5653.27,1865.11
31691.48,26,0,Professional,Tier_2,6338.3,0.0,1249.81,4038.61,2178.66,1539.56,1069.89,1692.61,1174.57,0.0,629.15,5.58,1768.65,11780.31,13805.38,6105.78
12824.46,28,4,Retired,Tier_3,1923.67,0.0,279.32,1374.19,711.3,331.19,306.58,802.51,578.76,1209.14,202.0,5.26,675.02,5105.81,5497.620000000001,2221.04
43819.17,33,2,Retired,Tier_1,13145.75,3113.68,906.05,6403.7,2775.56,1924.65,1718.77,3138.43,1676.39,4273.15,602.84,11.44,4140.2,4140.2,27504.21,9061.08
14377.41,62,1,Retired,Tier_2,2875.48,0.0,479.51,1947.76,719.55,467.25,432.14,1145.31,432.78,1333.62,151.51,6.5,935.18,4392.49,7355.92,2628.99
103662.96,30,4,Professional,Tier_1,31098.89,0.0,4952.41,10567.82,6750.34,3463.87,4568.49,6077.87,4240.85,7266.38,1527.21,22.57,23148.84,23148.84,60635.83999999999,19878.29
16032.13,35,2,Student,Tier_3,2404.82,0.0,628.11,1894.52,1039.95,620.95,549.72,777.13,606.78,1182.5,332.75,7.7,1234.45,5994.89,7149.900000000001,2887.33
23185.99,42,1,Self_Employed,Tier_2,4637.2,0.0,1059.75,2812.28,1430.23,751.43,876.49,1755.84,861.64,1436.41,394.03,9.76,2262.36,7170.69,11375.87,4639.429999999999
57513.01,50,2,Retired,Tier_3,8626.95,0.0,1226.14,7273.59,3900.74,1235.68,2551.41,4158.58,2170.81,3738.12,1205.01,12.54,7209.45,21425.97,24765.539999999997,11321.49
11206.63,27,3,Retired,Tier_2,2241.33,935.3,351.33,1297.72,812.26,256.23,331.73,853.98,500.38,687.42,288.54,6.26,701.04,2650.43,5390.06,2230.86
35987.27,47,2,Student,Tier_1,10796.18,2368.72,783.3,4897.41,1858.77,1518.39,930.27,1513.0,1351.22,2104.88,980.24,9.92,3568.33,6884.88,20440.54,6293.120000000001
85362.9,18,3,Self_Employed,Tier_3,12804.44,12629.01,2580.53,10867.25,4970.89,2204.79,3397.41,4128.24,3926.66,4693.09,1354.2,13.37,11411.35,21806.39,35916.2,15011.3
8291.33,50,3,Student,Tier_2,1658.27,480.44,236.51,848.65,452.07,253.08,382.99,433.9,274.12,660.53,135.03,6.09,505.07,2475.74,3856.0299999999997,1479.1200000000001
